Author ID,Paper ID,Title,Author Name
brac_author_26,brac_paper_11,Prioritization and offloading in P4 switch integrated with NFV,Md. Shohrab Hossain
brac_author_27,brac_paper_11,Prioritization and offloading in P4 switch integrated with NFV,Ying-Dar Lin
brac_author_28,brac_paper_12,A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks,Mohammed J.F. Alenazi
brac_author_29,brac_paper_12,A Relaxed and Faster Switch Migration Framework to Balance the Load of Distributed Control Plane in Software Defined Networks,Mohammed Atiquzzaman
brac_author_26,brac_paper_13,3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility,Md. Shohrab Hossain
brac_author_27,brac_paper_13,3GPP Edge-Fog Federation: Transparent 3rd-Party Authentication and Application Mobility,Ying-Dar Lin
brac_author_30,brac_paper_14,1--12,IEEE Transactions on Dependable
brac_author_31,brac_paper_14,1--12,Secure Computing
brac_author_32,brac_paper_15,Service Oriented Computing and Applications,A Framework for Checking
brac_author_33,brac_paper_15,Service Oriented Computing and Applications,Mitigating the Security Vulnerabilities of Cloud Service RESTful API
brac_author_34,brac_paper_16,An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis,Islam Rubyeat
brac_author_35,brac_paper_16,An Alignment-Free Method for Detection of Missing Regions for Phylogenetic Analysis,Rahman Atif
brac_author_36,brac_paper_17,Mouna Shahba Tasmiya,Roy Nilanjan
brac_author_37,brac_paper_17,Mouna Shahba Tasmiya,Kabir Acramul Haque
brac_author_38,brac_paper_17,Mouna Shahba Tasmiya,Zahan Nourin
brac_author_39,brac_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment,Saha Shoumik
brac_author_40,brac_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment,Afroz Sadia
brac_author_41,brac_paper_18,MAlign: Explainable static raw-byte based malware family classification using sequence alignment,Rahman Atif Hasan
brac_author_42,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Yafi Mashrur Ahmed
brac_author_43,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Hisham Md Hasibul Husain
brac_author_44,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Grisanti Francisco
brac_author_45,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Martin James F
brac_author_35,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Rahman Atif
brac_author_46,brac_paper_19,scGIST: gene panel design for spatial transcriptomics with prioritized gene sets,Samee Md Abul Hassan
brac_author_47,brac_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal),Meher Afroz
brac_author_48,brac_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal),Muntaka Ibnath
brac_author_49,brac_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal),Ashikur Rahman
brac_author_50,brac_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal),Jakia Sultana
brac_author_51,brac_paper_20,On Feature Selection Algorithms for Effective Botnet Detection (Journal),Raqeebir Rab
brac_author_52,brac_paper_21,The Computer Journal,Approximation algorithms for maximum weighted internal spanning trees in regular graphs
brac_author_53,brac_paper_21,The Computer Journal,subdivisions of graphs
brac_author_54,brac_paper_22,IEEE Transactions on Intelligent Transportation Systems,“To Lane or Not to Lane?”—Comparing On-Road Experiences in Developing
brac_author_55,brac_paper_22,IEEE Transactions on Intelligent Transportation Systems,Developed Countries Using a New Simulator RoadBird
brac_author_56,brac_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction,Toufikuzzaman Md
brac_author_57,brac_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction,Hassan Samee Md Abul
brac_author_58,brac_paper_23,CRISPR-DIPOFF: an interpretable deep learning approach for CRISPR Cas-9 off-target prediction,Sohel Rahman M
brac_author_59,brac_paper_24,Mohammed Raihan Azad,Benzir Md Ahmed
brac_author_60,brac_paper_24,Mohammed Raihan Azad,Mohammed Eunus Ali
brac_author_61,brac_paper_24,Mohammed Raihan Azad,Mohammad Mehedy Masud
brac_author_62,brac_paper_25,7(4),Wearable
brac_author_63,brac_paper_25,7(4),Ubiquitous Technologies
brac_author_64,brac_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model,Sheikh Hasib Ahmed
brac_author_65,brac_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model,Dibyendu Brinto Bose
brac_author_66,brac_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model,Rafi Khandoker
brac_author_2,brac_paper_26,StackDPP: a stacking ensemble based DNA-binding protein prediction model,M Saifur Rahman
brac_author_67,brac_paper_27,Springer Nature Computer Science,Data Poisoning Attacks
brac_author_68,brac_paper_27,Springer Nature Computer Science,Mitigation Strategies on Federated Support Vector Machines
brac_author_69,brac_paper_28,Smart Health,Recent Trends
brac_author_70,brac_paper_28,Smart Health,Techniques of Blood Glucose Level Prediction for Diabetes Control
brac_author_71,brac_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images,Jamalia Sultana
brac_author_72,brac_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images,Mahmuda Naznin
brac_author_73,brac_paper_29,SSDL–An efficient automated semi-supervised deep learning approach for patient-specific 3D reconstruction of proximal femur from QCT images,Tanvir Md. Faisal
brac_author_74,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Md Ehtesham-Ul-Haque
brac_author_75,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Jacob D’Rozario
brac_author_76,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Rudaiba Adnin
brac_author_77,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Farhan Tanvir Utshaw
brac_author_78,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Fabiha Tasneem
brac_author_79,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,Israt Jahan Shefa
brac_author_80,brac_paper_30,EmoBot: Artificial emotion generation through an emotional chatbot during general-purpose conversations,A.B.M. Alim Al Islam
brac_author_26,brac_paper_31,Offloading in P4 switch Integrated with multiple Virtual Network Function Servers,Md. Shohrab Hossain
brac_author_27,brac_paper_31,Offloading in P4 switch Integrated with multiple Virtual Network Function Servers,Ying-Dar Lin
brac_author_81,brac_paper_32,Mohammed Atiquzzaman,Md. Ruhul Amin
brac_author_26,brac_paper_32,Mohammed Atiquzzaman,Md. Shohrab Hossain
brac_author_82,brac_paper_33,Sangwu Lee,Md Saiful Islam
brac_author_83,brac_paper_33,Sangwu Lee,Wasifur Rahman
brac_author_84,brac_paper_33,Sangwu Lee,Abdelrahman Abdelkader
brac_author_62,brac_paper_34,7(1),Wearable
brac_author_63,brac_paper_34,7(1),Ubiquitous Technologies
brac_author_82,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Md Saiful Islam
brac_author_85,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Adiba Mahbub Proma
brac_author_86,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Caleb Wohn
brac_author_87,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Karen Berger
brac_author_88,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Serena Uong
brac_author_89,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Varun Kumar
brac_author_90,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Katrina Smith Korfmacher
brac_author_91,brac_paper_35,SEER: Sustainable E-commerce with Environmental-impact Rating,Ehsan Hoque
brac_author_92,brac_paper_36,Heliyon,A novel approach for standardizing clinical laboratory categorical test results using machine learning
brac_author_93,brac_paper_36,Heliyon,string distance similarity
brac_author_94,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Rahman Mohammad Nuwaisir
brac_author_95,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Noman Abdullah Al
brac_author_96,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Turza Abir Mohammad
brac_author_97,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Abrar Mohammed Abid
brac_author_46,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Samee Md Abul Hassan
brac_author_98,brac_paper_37,ScribbleDom: using scribble-annotated histology images to identify domains in spatial transcriptomics data,Rahman M Saifur
brac_author_99,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Sarif Sultan Saruar Jahan
brac_author_51,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Raqeebir Rab
brac_author_100,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Peom Dutta
brac_author_101,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Hossain Muhammad Mahdi Hassan Khan
brac_author_102,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Muhammad Shahariar Karim Badhon
brac_author_103,brac_paper_38,Deep Learning Based Misogynistic Bangla Text Identification from Social Media,Sumaiya Binte Hassan and
brac_author_104,brac_paper_39,Rifat Shahriyar,Sanzana Karim Lora
brac_author_105,brac_paper_39,Rifat Shahriyar,Ishrat Jahana
brac_author_106,brac_paper_39,Rifat Shahriyar,Rahad Hussain
brac_author_107,brac_paper_40,Efficient algorithms for community aware ridesharing,Samiul Anwar
brac_author_108,brac_paper_40,Efficient algorithms for community aware ridesharing,A. B. M. Alim Al Islam
brac_author_109,brac_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation,Md Ashiqur Rahman
brac_author_110,brac_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation,Abdullah Aman Tutul
brac_author_111,brac_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation,Mahfuza Sharmin
brac_author_17,brac_paper_41,BEENE: deep learning-based nonlinear embedding improves batch effect estimation,Md Shamsuzzoha Bayzid
brac_author_112,brac_paper_42,Masfiqur Rahaman,Ishrat Jahan
brac_author_113,brac_paper_42,Masfiqur Rahaman,Najla Abdulrahman Al-Nabhan
brac_author_114,brac_paper_42,Masfiqur Rahaman,Jannatun Noor
brac_author_115,brac_paper_43,ACM Journal on Computing and Sustainable Societies,Focusing on the Unfocused: Corresponding Perspectives on Connectivity among Small-Scale Non-Profit Organizations Working for Street Children in Bangladesh
brac_author_116,brac_paper_43,ACM Journal on Computing and Sustainable Societies,Their Donors
brac_author_117,brac_paper_44,RemOrphan: Object Storage Sustainability through Removing Offline-Processed Orphan Garbage Data,N. A. Al-Nabhan
brac_author_118,brac_paper_44,RemOrphan: Object Storage Sustainability through Removing Offline-Processed Orphan Garbage Data,A. B. M. A. A. Islam
brac_author_119,brac_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data,Sarfaraz Newaz
brac_author_4,brac_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data,Md Toki Tahmid
brac_author_120,brac_paper_45,A ubiquitous method for predicting underground petroleum deposits based on satellite data,Nadia Al-Aboody & A. B. M. Alim Al Islam
brac_author_121,brac_paper_46,Journal of Computational Biology,Inferring Optimal Species Trees in the Presence of Gene Duplication
brac_author_122,brac_paper_46,Journal of Computational Biology,Loss: Beyond Rooted Gene Trees
brac_author_123,brac_paper_47,Safest Nearby Neighbor Queries in Road Networks,Punam Biswas
brac_author_124,brac_paper_47,Safest Nearby Neighbor Queries in Road Networks,Tanzima Hashem
brac_author_125,brac_paper_47,Safest Nearby Neighbor Queries in Road Networks,Muhammad Aamir Cheema
brac_author_124,brac_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks,Tanzima Hashem
brac_author_126,brac_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks,Matt Duckham
brac_author_127,brac_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks,Mahathir Monjur
brac_author_128,brac_paper_48,Representative dissimilar path queries: accommodating human movement dynamics in road networks,Fariha Tabassum Islam
brac_author_129,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Nenad Radosevic
brac_author_126,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Matt Duckham
brac_author_130,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Mohammad Saiedur Rahaman
brac_author_131,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Serene Ho
brac_author_132,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Katherine Williams
brac_author_124,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Tanzima Hashem
brac_author_133,brac_paper_49,Spatial data trusts: an emerging governance framework for sharing spatial data,Yaguang Tao
brac_author_134,brac_paper_50,IEEE Transactions on Knowledge and Data Engineering,A Crowd-Enabled Approach for Privacy-Enhanced
brac_author_135,brac_paper_50,IEEE Transactions on Knowledge and Data Engineering,Personalized Safe Route Planning for Fixed or Flexible Destinations
brac_author_136,brac_paper_51,Empirical software engineering,Developer discussion topics on the adoption
brac_author_137,brac_paper_51,Empirical software engineering,barriers of low code software development platforms
brac_author_138,brac_paper_52,Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT and hybridization of RNN and LSTM,Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT
brac_author_139,brac_paper_52,Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT and hybridization of RNN and LSTM,hybridization of RNN
brac_author_140,brac_paper_52,Actual rating calculation of the zoom cloud meetings app using user reviews on google play store with sentiment annotation of BERT and hybridization of RNN and LSTM,LSTM
brac_author_141,brac_paper_53,161,Information
brac_author_142,brac_paper_53,161,Software Technology
brac_author_143,brac_paper_54,Data-driven approaches for road safety: A comprehensive systematic literature review,Ammar Sohail
brac_author_125,brac_paper_54,Data-driven approaches for road safety: A comprehensive systematic literature review,Muhammad Aamir Cheema
brac_author_60,brac_paper_54,Data-driven approaches for road safety: A comprehensive systematic literature review,Mohammed Eunus Ali
brac_author_144,brac_paper_54,Data-driven approaches for road safety: A comprehensive systematic literature review,Adel N Toosi
brac_author_145,brac_paper_54,Data-driven approaches for road safety: A comprehensive systematic literature review,Hesham A Rakha
brac_author_146,brac_paper_55,35,IEEE Transactions on Knowledge
brac_author_147,brac_paper_55,35,Data Engineering
brac_author_148,brac_paper_56,Align-gram: Rethinking the Skip-gram Model for Protein Sequence Analysis,Nabil Ibtehaz
brac_author_149,brac_paper_56,Align-gram: Rethinking the Skip-gram Model for Protein Sequence Analysis,SM Shakhawat Hossain Sourav
brac_author_17,brac_paper_56,Align-gram: Rethinking the Skip-gram Model for Protein Sequence Analysis,Md Shamsuzzoha Bayzid
brac_author_150,brac_paper_56,Align-gram: Rethinking the Skip-gram Model for Protein Sequence Analysis,M Sohel Rahman
brac_author_151,brac_paper_57,Transportation research interdisciplinary perspectives,Multi-objective optimization
brac_author_152,brac_paper_57,Transportation research interdisciplinary perspectives,heuristic based solutions for evacuation modeling
brac_author_148,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,Nabil Ibtehaz
brac_author_153,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,Muhammad EH Chowdhury
brac_author_154,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,Amith Kh
brac_author_155,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,akar
brac_author_156,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,Serkan Kiranyaz
brac_author_150,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,M Sohel Rahman
brac_author_157,brac_paper_58,RamanNet: a generalized neural network architecture for Raman spectrum analysis,Susu M Zughaier
brac_author_158,brac_paper_59,Succinylated lysine residue prediction revisited,Ahmed Shehab Sarar
brac_author_159,brac_paper_59,Succinylated lysine residue prediction revisited,Rifat Zaara Tasnim
brac_author_98,brac_paper_59,Succinylated lysine residue prediction revisited,Rahman M Saifur
brac_author_14,brac_paper_59,Succinylated lysine residue prediction revisited,Rahman M Sohel
brac_author_160,brac_paper_60,MAMMLE: A Framework for Phylogeny Estimation Based on Multiobjective Application-aware Multiple Sequence Alignment and Maximum Likelihood Ensemble,Nayeem Muhammad Ali
brac_author_161,brac_paper_60,MAMMLE: A Framework for Phylogeny Estimation Based on Multiobjective Application-aware Multiple Sequence Alignment and Maximum Likelihood Ensemble,Samudro Naser Anjum
brac_author_98,brac_paper_60,MAMMLE: A Framework for Phylogeny Estimation Based on Multiobjective Application-aware Multiple Sequence Alignment and Maximum Likelihood Ensemble,Rahman M Saifur
brac_author_14,brac_paper_60,MAMMLE: A Framework for Phylogeny Estimation Based on Multiobjective Application-aware Multiple Sequence Alignment and Maximum Likelihood Ensemble,Rahman M Sohel
brac_author_162,brac_paper_61,Md Shamsuzzoha Bayzid,Mim Sharmin Akter
brac_author_163,brac_paper_61,Md Shamsuzzoha Bayzid,Md Zarif-Ul-Alam
brac_author_164,brac_paper_61,Md Shamsuzzoha Bayzid,Rezwana Reaz
brac_author_97,brac_paper_62,NoVaTeST: identifying genes with location-dependent noise variance in spatial transcriptomics data,Abrar Mohammed Abid
brac_author_165,brac_paper_62,NoVaTeST: identifying genes with location-dependent noise variance in spatial transcriptomics data,Kaykobad M
brac_author_98,brac_paper_62,NoVaTeST: identifying genes with location-dependent noise variance in spatial transcriptomics data,Rahman M Saifur
brac_author_46,brac_paper_62,NoVaTeST: identifying genes with location-dependent noise variance in spatial transcriptomics data,Samee Md Abul Hassan
brac_author_166,brac_paper_63,Springer,Journal of Network
brac_author_167,brac_paper_63,Springer,Systems Management
brac_author_71,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,Jamalia Sultana
brac_author_59,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,Benzir Md Ahmed
brac_author_61,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,Mohammad Mehedy Masud
brac_author_168,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,A. K. Obidul Huq
brac_author_60,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,Mohammed Eunus Ali
brac_author_72,brac_paper_64,A Study on Food Value Estimation From Images: Taxonomies,Mahmuda Naznin
brac_author_169,brac_paper_65,Heliyon,Towards associating negative experiences
brac_author_170,brac_paper_65,Heliyon,recommendations reported by Hajj pilgrims in a mass-scale survey
brac_author_171,brac_paper_66,Bioinformatics Advances,SAINT-Angle: self-attention augmented inception-inside-inception network
brac_author_172,brac_paper_66,Bioinformatics Advances,transfer learning improve protein backbone torsion angle prediction
brac_author_173,brac_paper_67,A Prediction Based Replica Selection Strategy for Reducing Tail Latency in Geo-Distributed Systems,Santa Maria Shithil
brac_author_174,brac_paper_67,A Prediction Based Replica Selection Strategy for Reducing Tail Latency in Geo-Distributed Systems,Muhammad Abdullah Adnan
brac_author_175,brac_paper_68,Md. Shamsuzzoha Bayzid,Navid Bin Hasan
brac_author_176,brac_paper_68,Md. Shamsuzzoha Bayzid,Metin Balaban
brac_author_177,brac_paper_68,Md. Shamsuzzoha Bayzid,Avijit Biswas
brac_author_178,brac_paper_69,Computing the longest common almost-increasing subsequence,Mohammad Tawhidul Hasan Bhuiyan
brac_author_179,brac_paper_69,Computing the longest common almost-increasing subsequence,Muhammad Rashed Alam
brac_author_180,brac_paper_69,Computing the longest common almost-increasing subsequence,M. Sohel Rahman
brac_author_181,brac_paper_70,PLoS ONE,CHAPAO: likelihood
brac_author_182,brac_paper_70,PLoS ONE,hierarchical reference based representation of biomolecular sequences
brac_author_183,brac_paper_70,PLoS ONE,applications to compressing multiple sequence alignments
brac_author_184,brac_paper_71,An enhanced rbmt: When rbmt outperforms modern data-driven translators,Md. Adnanul Islam
brac_author_185,brac_paper_71,An enhanced rbmt: When rbmt outperforms modern data-driven translators,Md. Saidul Hoque Anik
brac_author_186,brac_paper_71,An enhanced rbmt: When rbmt outperforms modern data-driven translators,and A. B. M. Alim Al Islam
brac_author_187,brac_paper_72,Sustainability,Crowd Evacuation in Hajj Stoning Area: Planning through Modeling
brac_author_188,brac_paper_72,Sustainability,Simulation
brac_author_189,brac_paper_73,Md Toki Tahmid,Taslim Arefin Khan
brac_author_190,brac_paper_73,Md Toki Tahmid,Tarik Reza Toha
brac_author_191,brac_paper_73,Md Toki Tahmid,Saiful Islam Salim
brac_author_190,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,Tarik Reza Toha
brac_author_113,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,Najla Abdulrahman Al-Nabhan
brac_author_191,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,Saiful Islam Salim
brac_author_192,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,Masfiqur Rahaman
brac_author_193,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,Uday Kamal
brac_author_194,brac_paper_74,LC-Net: Localized Counting Network for Extremely Dense Crowds,and A.B.M. Alim Al Islam
brac_author_195,brac_paper_75,IEEE Transactions on Cloud Computing,Orchestrating Image Retrieval
brac_author_196,brac_paper_75,IEEE Transactions on Cloud Computing,Storage Over a Cloud System
brac_author_176,brac_paper_76,Md Shamsuzzoha Bayzid,Metin Balaban
brac_author_197,brac_paper_76,Md Shamsuzzoha Bayzid,Nishat Anjum Bristy
brac_author_198,brac_paper_76,Md Shamsuzzoha Bayzid,Ahnaf Faisal
brac_author_199,brac_paper_77,Briefings in Bioinformatics,EGRET: edge aggregated graph attention networks
brac_author_200,brac_paper_77,Briefings in Bioinformatics,transfer learning improve proteinâ€“protein interaction site prediction
brac_author_201,brac_paper_78,Ad Hoc Networks,Md Ruhul Amin
brac_author_202,brac_paper_78,Ad Hoc Networks,Md Shohrab Hossain
brac_author_203,brac_paper_78,Ad Hoc Networks,An RTS-CTS based medium access control protocol for full-duplex wireless local area networks
brac_author_204,brac_paper_79,IEEE Open Journal of the Communications Societ,Security
brac_author_205,brac_paper_79,IEEE Open Journal of the Communications Societ,privacy threats for bluetooth low energy in iot
brac_author_206,brac_paper_79,IEEE Open Journal of the Communications Societ,wearable devices: A comprehensive survey
brac_author_207,brac_paper_80,Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support,Asad Ali
brac_author_208,brac_paper_80,Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support,Samin Rahman Khan
brac_author_209,brac_paper_80,Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support,Sadman Sakib
brac_author_202,brac_paper_80,Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support,Md Shohrab Hossain
brac_author_27,brac_paper_80,Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support,Ying-Dar Lin
brac_author_141,brac_paper_81,143,Information
brac_author_142,brac_paper_81,143,Software Technology
