UID,Label
107,aiub_author_1120
108,aiub_author_1121
108,aiub_author_1121
109,aiub_author_1122
110,aiub_author_1123
110,aiub_author_1123
111,aiub_author_1124
112,aiub_author_1125
112,aiub_author_1125
113,aiub_author_1126
113,aiub_author_1126
114,aiub_author_1127
114,aiub_author_1127
32,aiub_author_1128
115,aiub_author_1129
116,aiub_author_113
116,aiub_author_113
71,aiub_author_1130
100,aiub_author_1131
100,aiub_author_1131
70,aiub_author_1132
70,aiub_author_1133
70,aiub_author_1133
70,aiub_author_1134
70,aiub_author_1134
117,aiub_author_1135
117,aiub_author_1135
12,aiub_author_1136
118,aiub_author_1137
119,aiub_author_1138
120,aiub_author_1139
108,aiub_author_114
108,aiub_author_114
121,aiub_author_1140
32,aiub_author_1141
17,aiub_author_1143
122,aiub_author_1144
122,aiub_author_1144
123,aiub_author_1145
124,aiub_author_1146
125,aiub_author_1147
126,aiub_author_1148
127,aiub_author_1149
128,aiub_author_115
129,aiub_author_1150
129,aiub_author_1150
127,aiub_author_1151
126,aiub_author_1152
19,aiub_author_1153
17,aiub_author_1154
122,aiub_author_1155
122,aiub_author_1155
125,aiub_author_1156
129,aiub_author_1157
130,aiub_author_1158
53,aiub_author_1159
131,aiub_author_116
132,aiub_author_1160
133,aiub_author_1161
134,aiub_author_1162
135,aiub_author_1163
136,aiub_author_1165
17,aiub_author_1166
137,aiub_author_1167
138,aiub_author_1168
17,aiub_author_1169
139,aiub_author_117
140,aiub_author_1170
141,aiub_author_1171
142,aiub_author_1172
143,aiub_author_1174
144,aiub_author_1175
17,aiub_author_1176
82,aiub_author_1177
82,aiub_author_1177
82,aiub_author_1178
82,aiub_author_1178
67,aiub_author_1179
67,aiub_author_1179
145,aiub_author_118
146,aiub_author_1180
147,aiub_author_1181
148,aiub_author_1182
149,aiub_author_1183
106,aiub_author_1184
150,aiub_author_1185
151,aiub_author_1186
152,aiub_author_1187
9,aiub_author_1188
153,aiub_author_1189
154,aiub_author_119
155,aiub_author_1190
156,aiub_author_1191
157,aiub_author_1192
158,aiub_author_1193
159,aiub_author_1194
160,aiub_author_1195
161,aiub_author_1196
162,aiub_author_1197
163,aiub_author_1198
164,aiub_author_1199
165,aiub_author_12
166,aiub_author_120
167,aiub_author_1200
168,aiub_author_1201
163,aiub_author_1202
164,aiub_author_1203
164,aiub_author_1203
169,aiub_author_1204
170,aiub_author_1205
171,aiub_author_1206
172,aiub_author_1207
173,aiub_author_1208
174,aiub_author_1209
17,aiub_author_121
175,aiub_author_1210
176,aiub_author_1211
177,aiub_author_1212
178,aiub_author_1213
179,aiub_author_1214
180,aiub_author_1215
181,aiub_author_1216
151,aiub_author_1217
182,aiub_author_1218
183,aiub_author_1219
184,aiub_author_122
185,aiub_author_1220
186,aiub_author_1221
5,aiub_author_1222
5,aiub_author_1222
187,aiub_author_1223
188,aiub_author_1224
189,aiub_author_1225
190,aiub_author_1226
191,aiub_author_1227
192,aiub_author_1228
193,aiub_author_1229
194,aiub_author_123
195,aiub_author_1230
196,aiub_author_1231
55,aiub_author_1232
197,aiub_author_1233
197,aiub_author_1233
198,aiub_author_1235
14,aiub_author_1236
63,aiub_author_1237
199,aiub_author_1238
200,aiub_author_1239
201,aiub_author_124
202,aiub_author_1240
203,aiub_author_1241
204,aiub_author_1242
205,aiub_author_1243
206,aiub_author_1244
207,aiub_author_1245
208,aiub_author_1246
209,aiub_author_1247
210,aiub_author_1248
211,aiub_author_1249
212,aiub_author_125
213,aiub_author_1250
214,aiub_author_1251
215,aiub_author_1252
208,aiub_author_1253
216,aiub_author_1255
40,aiub_author_1258
208,aiub_author_1259
184,aiub_author_126
217,aiub_author_1260
218,aiub_author_1261
219,aiub_author_1262
209,aiub_author_1263
220,aiub_author_1264
221,aiub_author_1265
222,aiub_author_1266
223,aiub_author_1267
72,aiub_author_1268
224,aiub_author_1269
221,aiub_author_127
225,aiub_author_1270
226,aiub_author_1272
218,aiub_author_1273
43,aiub_author_1275
43,aiub_author_1275
227,aiub_author_1276
227,aiub_author_1276
228,aiub_author_1277
229,aiub_author_1278
216,aiub_author_1279
216,aiub_author_1279
230,aiub_author_128
204,aiub_author_1280
231,aiub_author_1281
232,aiub_author_1282
233,aiub_author_1283
35,aiub_author_1284
234,aiub_author_1285
235,aiub_author_1286
236,aiub_author_1287
237,aiub_author_1289
207,aiub_author_1290
238,aiub_author_1291
239,aiub_author_1292
240,aiub_author_1293
241,aiub_author_1294
242,aiub_author_1295
176,aiub_author_1296
243,aiub_author_1297
244,aiub_author_1298
245,aiub_author_1299
246,aiub_author_13
247,aiub_author_130
248,aiub_author_1303
249,aiub_author_1304
250,aiub_author_1306
251,aiub_author_1307
252,aiub_author_1308
253,aiub_author_1309
254,aiub_author_131
255,aiub_author_1310
65,aiub_author_1311
256,aiub_author_1312
9,aiub_author_1313
257,aiub_author_1314
44,aiub_author_1315
258,aiub_author_1316
259,aiub_author_1317
260,aiub_author_1318
261,aiub_author_1319
262,aiub_author_132
263,aiub_author_1320
264,aiub_author_1321
265,aiub_author_1322
266,aiub_author_1323
266,aiub_author_1323
267,aiub_author_1324
267,aiub_author_1324
268,aiub_author_1326
268,aiub_author_1326
269,aiub_author_1327
269,aiub_author_1327
270,aiub_author_1328
271,aiub_author_1329
17,aiub_author_133
32,aiub_author_1330
272,aiub_author_1331
273,aiub_author_1333
33,aiub_author_1334
274,aiub_author_1335
275,aiub_author_1336
276,aiub_author_1337
277,aiub_author_1338
196,aiub_author_1339
278,aiub_author_134
279,aiub_author_1341
32,aiub_author_1343
208,aiub_author_1344
280,aiub_author_1345
281,aiub_author_1346
40,aiub_author_1347
282,aiub_author_1348
283,aiub_author_1349
196,aiub_author_135
284,aiub_author_1350
285,aiub_author_1351
286,aiub_author_1352
287,aiub_author_1353
288,aiub_author_1354
289,aiub_author_1355
13,aiub_author_1356
13,aiub_author_1356
290,aiub_author_1357
290,aiub_author_1357
70,aiub_author_1358
70,aiub_author_1358
17,aiub_author_1359
17,aiub_author_1359
291,aiub_author_1360
17,aiub_author_1361
70,aiub_author_1362
70,aiub_author_1362
292,aiub_author_1363
293,aiub_author_1364
294,aiub_author_1365
294,aiub_author_1366
295,aiub_author_1367
9,aiub_author_1368
14,aiub_author_1369
296,aiub_author_137
68,aiub_author_1370
32,aiub_author_1371
297,aiub_author_1372
298,aiub_author_1373
299,aiub_author_1374
300,aiub_author_1375
301,aiub_author_1376
302,aiub_author_1377
303,aiub_author_1378
304,aiub_author_1379
305,aiub_author_138
306,aiub_author_1380
307,aiub_author_1381
308,aiub_author_1382
309,aiub_author_1383
310,aiub_author_1385
39,aiub_author_1386
311,aiub_author_1387
9,aiub_author_1388
312,aiub_author_1389
39,aiub_author_139
313,aiub_author_1390
314,aiub_author_1391
196,aiub_author_1392
315,aiub_author_1393
196,aiub_author_1394
68,aiub_author_1395
316,aiub_author_1396
317,aiub_author_1397
318,aiub_author_1398
289,aiub_author_1399
319,aiub_author_14
44,aiub_author_140
320,aiub_author_1400
320,aiub_author_1400
32,aiub_author_1402
16,aiub_author_1403
321,aiub_author_1404
322,aiub_author_1405
281,aiub_author_1406
323,aiub_author_1408
39,aiub_author_1409
324,aiub_author_141
83,aiub_author_1410
325,aiub_author_1411
326,aiub_author_1412
327,aiub_author_1413
328,aiub_author_1414
135,aiub_author_1415
329,aiub_author_1416
330,aiub_author_1417
331,aiub_author_1418
332,aiub_author_1419
39,aiub_author_142
333,aiub_author_1420
281,aiub_author_1422
334,aiub_author_1424
157,aiub_author_1425
250,aiub_author_1426
335,aiub_author_1427
159,aiub_author_1428
336,aiub_author_143
281,aiub_author_1430
337,aiub_author_1431
338,aiub_author_1432
339,aiub_author_1433
340,aiub_author_1434
241,aiub_author_1435
176,aiub_author_1436
171,aiub_author_1437
341,aiub_author_1438
338,aiub_author_1439
342,aiub_author_1440
17,aiub_author_1441
343,aiub_author_1442
344,aiub_author_1443
345,aiub_author_1444
346,aiub_author_1445
164,aiub_author_1446
347,aiub_author_1447
348,aiub_author_1448
349,aiub_author_1449
350,aiub_author_145
264,aiub_author_1450
351,aiub_author_1451
264,aiub_author_1452
352,aiub_author_1453
353,aiub_author_1454
236,aiub_author_1455
354,aiub_author_1456
355,aiub_author_1457
356,aiub_author_1458
357,aiub_author_1461
358,aiub_author_1462
359,aiub_author_1463
360,aiub_author_1464
361,aiub_author_1466
362,aiub_author_1467
363,aiub_author_1468
364,aiub_author_1469
365,aiub_author_147
366,aiub_author_1470
367,aiub_author_1471
368,aiub_author_1472
369,aiub_author_1473
370,aiub_author_1474
371,aiub_author_1475
372,aiub_author_1476
9,aiub_author_1477
323,aiub_author_1478
373,aiub_author_1479
63,aiub_author_148
374,aiub_author_1480
32,aiub_author_1481
375,aiub_author_1482
376,aiub_author_1483
115,aiub_author_1484
377,aiub_author_1485
378,aiub_author_1486
379,aiub_author_1487
380,aiub_author_1488
17,aiub_author_1489
381,aiub_author_149
353,aiub_author_1490
352,aiub_author_1491
382,aiub_author_1492
17,aiub_author_1493
17,aiub_author_1494
139,aiub_author_1495
383,aiub_author_1496
384,aiub_author_1497
385,aiub_author_1498
386,aiub_author_1499
387,aiub_author_15
388,aiub_author_150
335,aiub_author_1502
337,aiub_author_1503
337,aiub_author_1503
389,aiub_author_1504
390,aiub_author_1505
391,aiub_author_1506
161,aiub_author_1507
389,aiub_author_1508
252,aiub_author_1509
392,aiub_author_151
325,aiub_author_1510
393,aiub_author_1511
83,aiub_author_1512
394,aiub_author_1513
325,aiub_author_1514
395,aiub_author_1516
396,aiub_author_1517
208,aiub_author_1518
397,aiub_author_1519
6,aiub_author_152
398,aiub_author_1520
32,aiub_author_1521
397,aiub_author_1522
399,aiub_author_1523
400,aiub_author_1524
6,aiub_author_1526
401,aiub_author_1527
402,aiub_author_1528
23,aiub_author_1529
403,aiub_author_153
404,aiub_author_1531
404,aiub_author_1531
316,aiub_author_1532
117,aiub_author_1533
315,aiub_author_1534
405,aiub_author_1535
406,aiub_author_1536
407,aiub_author_1537
32,aiub_author_1538
408,aiub_author_1539
409,aiub_author_154
28,aiub_author_1540
410,aiub_author_1541
411,aiub_author_1542
61,aiub_author_1543
412,aiub_author_1544
413,aiub_author_1545
414,aiub_author_1546
9,aiub_author_1547
272,aiub_author_1548
415,aiub_author_1549
196,aiub_author_155
214,aiub_author_1552
258,aiub_author_1554
208,aiub_author_1555
391,aiub_author_1556
416,aiub_author_1557
417,aiub_author_1558
418,aiub_author_1559
419,aiub_author_156
420,aiub_author_1561
421,aiub_author_1564
422,aiub_author_1565
416,aiub_author_1566
250,aiub_author_1567
281,aiub_author_1568
418,aiub_author_1569
423,aiub_author_157
335,aiub_author_1570
159,aiub_author_1571
417,aiub_author_1572
424,aiub_author_1573
425,aiub_author_1574
161,aiub_author_1575
426,aiub_author_1576
427,aiub_author_1577
427,aiub_author_1578
55,aiub_author_1579
428,aiub_author_158
9,aiub_author_1580
208,aiub_author_1581
302,aiub_author_1582
429,aiub_author_1583
430,aiub_author_1584
431,aiub_author_1585
432,aiub_author_1586
32,aiub_author_1587
433,aiub_author_1588
434,aiub_author_1589
6,aiub_author_159
32,aiub_author_1590
139,aiub_author_1591
435,aiub_author_1592
436,aiub_author_1593
437,aiub_author_1594
437,aiub_author_1594
438,aiub_author_1595
439,aiub_author_1596
439,aiub_author_1596
440,aiub_author_1597
440,aiub_author_1597
441,aiub_author_1598
441,aiub_author_1598
32,aiub_author_1599
442,aiub_author_16
91,aiub_author_160
443,aiub_author_1600
380,aiub_author_1601
444,aiub_author_1602
72,aiub_author_1603
445,aiub_author_1604
446,aiub_author_1605
447,aiub_author_1606
448,aiub_author_1607
449,aiub_author_1608
450,aiub_author_1609
129,aiub_author_161
429,aiub_author_1610
44,aiub_author_1611
451,aiub_author_1612
452,aiub_author_1614
32,aiub_author_1615
453,aiub_author_1616
454,aiub_author_1617
455,aiub_author_1618
456,aiub_author_1619
457,aiub_author_162
458,aiub_author_1620
167,aiub_author_1621
431,aiub_author_1622
117,aiub_author_1623
67,aiub_author_1624
67,aiub_author_1624
459,aiub_author_1625
460,aiub_author_1626
461,aiub_author_1627
462,aiub_author_1628
460,aiub_author_1629
463,aiub_author_163
464,aiub_author_1630
462,aiub_author_1631
465,aiub_author_1632
466,aiub_author_1633
467,aiub_author_1635
214,aiub_author_1636
5,aiub_author_1637
295,aiub_author_1638
27,aiub_author_1639
289,aiub_author_164
468,aiub_author_1640
468,aiub_author_1640
469,aiub_author_1641
470,aiub_author_1642
14,aiub_author_1643
471,aiub_author_1644
472,aiub_author_1645
473,aiub_author_1646
474,aiub_author_1647
32,aiub_author_1648
60,aiub_author_1649
17,aiub_author_165
287,aiub_author_1650
475,aiub_author_1651
308,aiub_author_1652
476,aiub_author_1653
60,aiub_author_1654
374,aiub_author_1655
477,aiub_author_1656
17,aiub_author_1657
432,aiub_author_1658
478,aiub_author_1659
17,aiub_author_166
479,aiub_author_1660
480,aiub_author_1661
481,aiub_author_1662
315,aiub_author_1663
482,aiub_author_1664
483,aiub_author_1665
196,aiub_author_1666
484,aiub_author_1667
485,aiub_author_1668
295,aiub_author_1669
295,aiub_author_1669
67,aiub_author_167
486,aiub_author_1670
487,aiub_author_1672
488,aiub_author_1673
489,aiub_author_1674
490,aiub_author_1675
491,aiub_author_1676
492,aiub_author_1677
493,aiub_author_1678
218,aiub_author_1679
25,aiub_author_168
494,aiub_author_1681
167,aiub_author_1682
495,aiub_author_1684
307,aiub_author_1686
496,aiub_author_1687
196,aiub_author_1688
497,aiub_author_1689
317,aiub_author_169
214,aiub_author_1690
214,aiub_author_1690
497,aiub_author_1691
498,aiub_author_1693
498,aiub_author_1693
139,aiub_author_1694
139,aiub_author_1694
384,aiub_author_1695
499,aiub_author_1696
499,aiub_author_1696
500,aiub_author_1697
500,aiub_author_1697
501,aiub_author_1698
501,aiub_author_1698
386,aiub_author_1699
502,aiub_author_17
503,aiub_author_170
504,aiub_author_1700
505,aiub_author_1701
307,aiub_author_1702
506,aiub_author_1703
17,aiub_author_1705
40,aiub_author_1706
492,aiub_author_1707
14,aiub_author_1708
507,aiub_author_1709
508,aiub_author_1710
509,aiub_author_1711
61,aiub_author_1712
510,aiub_author_1713
511,aiub_author_1714
511,aiub_author_1714
512,aiub_author_1715
512,aiub_author_1715
513,aiub_author_1716
513,aiub_author_1716
514,aiub_author_1717
514,aiub_author_1717
515,aiub_author_1718
515,aiub_author_1718
516,aiub_author_1719
516,aiub_author_1719
517,aiub_author_172
518,aiub_author_1720
518,aiub_author_1720
173,aiub_author_1721
214,aiub_author_1722
14,aiub_author_1723
287,aiub_author_1724
519,aiub_author_1725
232,aiub_author_1726
520,aiub_author_1727
241,aiub_author_1729
521,aiub_author_1730
522,aiub_author_1731
523,aiub_author_1732
524,aiub_author_1733
208,aiub_author_1734
525,aiub_author_1737
196,aiub_author_1738
526,aiub_author_1739
465,aiub_author_174
527,aiub_author_1740
528,aiub_author_1741
529,aiub_author_1742
173,aiub_author_1743
530,aiub_author_1744
531,aiub_author_1745
532,aiub_author_1746
533,aiub_author_1747
534,aiub_author_1748
535,aiub_author_1749
517,aiub_author_175
374,aiub_author_1750
532,aiub_author_1751
536,aiub_author_1752
186,aiub_author_1753
537,aiub_author_1754
538,aiub_author_1755
539,aiub_author_1756
540,aiub_author_1758
9,aiub_author_1759
219,aiub_author_176
541,aiub_author_1760
542,aiub_author_1761
17,aiub_author_1762
543,aiub_author_1763
388,aiub_author_1764
544,aiub_author_1765
22,aiub_author_1766
480,aiub_author_1767
545,aiub_author_1768
546,aiub_author_1769
3,aiub_author_177
477,aiub_author_1770
17,aiub_author_1771
432,aiub_author_1772
547,aiub_author_1773
548,aiub_author_1774
17,aiub_author_1775
549,aiub_author_1776
406,aiub_author_1777
550,aiub_author_1778
551,aiub_author_178
552,aiub_author_1780
208,aiub_author_1783
32,aiub_author_1784
553,aiub_author_1786
554,aiub_author_1788
555,aiub_author_1789
556,aiub_author_179
36,aiub_author_1790
446,aiub_author_18
557,aiub_author_180
558,aiub_author_181
125,aiub_author_182
559,aiub_author_183
560,aiub_author_184
12,aiub_author_185
44,aiub_author_186
561,aiub_author_187
562,aiub_author_188
563,aiub_author_189
564,aiub_author_19
265,aiub_author_190
218,aiub_author_191
565,aiub_author_192
566,aiub_author_194
264,aiub_author_195
32,aiub_author_196
208,aiub_author_197
184,aiub_author_198
221,aiub_author_199
567,aiub_author_2
311,aiub_author_20
568,aiub_author_200
569,aiub_author_201
570,aiub_author_202
571,aiub_author_203
359,aiub_author_204
572,aiub_author_205
573,aiub_author_206
62,aiub_author_207
574,aiub_author_209
575,aiub_author_210
576,aiub_author_211
577,aiub_author_212
578,aiub_author_213
17,aiub_author_214
4,aiub_author_215
579,aiub_author_216
89,aiub_author_217
3,aiub_author_218
580,aiub_author_220
581,aiub_author_221
582,aiub_author_222
583,aiub_author_224
584,aiub_author_225
585,aiub_author_226
586,aiub_author_227
587,aiub_author_228
588,aiub_author_229
589,aiub_author_23
590,aiub_author_230
591,aiub_author_231
218,aiub_author_232
117,aiub_author_233
592,aiub_author_234
592,aiub_author_234
32,aiub_author_236
593,aiub_author_237
593,aiub_author_237
594,aiub_author_238
208,aiub_author_239
12,aiub_author_24
17,aiub_author_240
595,aiub_author_241
596,aiub_author_242
597,aiub_author_243
597,aiub_author_243
598,aiub_author_245
598,aiub_author_245
55,aiub_author_246
55,aiub_author_246
373,aiub_author_247
599,aiub_author_248
600,aiub_author_249
32,aiub_author_25
217,aiub_author_250
214,aiub_author_251
214,aiub_author_251
551,aiub_author_252
246,aiub_author_253
601,aiub_author_255
602,aiub_author_256
603,aiub_author_257
36,aiub_author_258
80,aiub_author_259
604,aiub_author_26
423,aiub_author_260
605,aiub_author_261
606,aiub_author_263
607,aiub_author_264
323,aiub_author_265
608,aiub_author_266
609,aiub_author_267
610,aiub_author_268
13,aiub_author_269
611,aiub_author_270
6,aiub_author_271
612,aiub_author_272
613,aiub_author_273
614,aiub_author_274
461,aiub_author_275
615,aiub_author_276
616,aiub_author_277
617,aiub_author_278
618,aiub_author_279
214,aiub_author_28
619,aiub_author_280
44,aiub_author_281
173,aiub_author_282
283,aiub_author_283
620,aiub_author_284
621,aiub_author_285
17,aiub_author_286
196,aiub_author_287
622,aiub_author_288
623,aiub_author_289
67,aiub_author_29
624,aiub_author_290
263,aiub_author_291
625,aiub_author_292
32,aiub_author_293
133,aiub_author_294
173,aiub_author_295
626,aiub_author_297
264,aiub_author_298
264,aiub_author_299
303,aiub_author_3
627,aiub_author_30
628,aiub_author_300
184,aiub_author_301
629,aiub_author_302
348,aiub_author_303
630,aiub_author_304
631,aiub_author_305
36,aiub_author_307
632,aiub_author_308
633,aiub_author_309
196,aiub_author_31
634,aiub_author_310
60,aiub_author_311
635,aiub_author_312
32,aiub_author_313
272,aiub_author_314
636,aiub_author_315
522,aiub_author_316
32,aiub_author_317
637,aiub_author_318
17,aiub_author_319
522,aiub_author_32
638,aiub_author_320
639,aiub_author_321
640,aiub_author_322
68,aiub_author_323
303,aiub_author_324
297,aiub_author_325
241,aiub_author_326
641,aiub_author_327
642,aiub_author_328
303,aiub_author_329
643,aiub_author_33
644,aiub_author_330
645,aiub_author_331
533,aiub_author_332
348,aiub_author_333
646,aiub_author_334
647,aiub_author_335
648,aiub_author_336
295,aiub_author_337
196,aiub_author_338
649,aiub_author_339
650,aiub_author_340
5,aiub_author_341
651,aiub_author_342
652,aiub_author_343
653,aiub_author_344
654,aiub_author_345
655,aiub_author_346
656,aiub_author_347
649,aiub_author_348
40,aiub_author_349
657,aiub_author_35
14,aiub_author_350
32,aiub_author_351
658,aiub_author_352
659,aiub_author_353
660,aiub_author_354
661,aiub_author_355
56,aiub_author_356
662,aiub_author_357
663,aiub_author_358
32,aiub_author_359
359,aiub_author_36
9,aiub_author_360
664,aiub_author_361
665,aiub_author_362
25,aiub_author_363
666,aiub_author_364
667,aiub_author_365
668,aiub_author_366
669,aiub_author_367
39,aiub_author_368
670,aiub_author_369
9,aiub_author_37
221,aiub_author_370
9,aiub_author_371
32,aiub_author_372
32,aiub_author_373
32,aiub_author_374
671,aiub_author_375
672,aiub_author_376
673,aiub_author_377
674,aiub_author_378
675,aiub_author_379
32,aiub_author_38
676,aiub_author_380
677,aiub_author_381
678,aiub_author_382
679,aiub_author_383
12,aiub_author_384
13,aiub_author_385
14,aiub_author_386
214,aiub_author_387
17,aiub_author_388
680,aiub_author_39
580,aiub_author_390
580,aiub_author_390
681,aiub_author_391
682,aiub_author_392
682,aiub_author_392
683,aiub_author_393
581,aiub_author_394
581,aiub_author_394
208,aiub_author_395
218,aiub_author_396
684,aiub_author_397
685,aiub_author_398
686,aiub_author_4
687,aiub_author_40
583,aiub_author_400
89,aiub_author_401
688,aiub_author_402
688,aiub_author_402
689,aiub_author_403
587,aiub_author_404
587,aiub_author_404
17,aiub_author_405
281,aiub_author_406
592,aiub_author_407
592,aiub_author_407
690,aiub_author_408
690,aiub_author_408
218,aiub_author_409
218,aiub_author_409
691,aiub_author_41
692,aiub_author_410
32,aiub_author_412
693,aiub_author_413
694,aiub_author_414
695,aiub_author_415
696,aiub_author_416
697,aiub_author_417
17,aiub_author_418
698,aiub_author_419
699,aiub_author_42
700,aiub_author_420
17,aiub_author_421
701,aiub_author_422
58,aiub_author_423
58,aiub_author_423
702,aiub_author_424
246,aiub_author_425
703,aiub_author_426
704,aiub_author_427
117,aiub_author_428
68,aiub_author_429
67,aiub_author_43
434,aiub_author_430
640,aiub_author_431
66,aiub_author_432
17,aiub_author_433
705,aiub_author_434
451,aiub_author_435
706,aiub_author_436
143,aiub_author_437
83,aiub_author_438
144,aiub_author_439
117,aiub_author_44
277,aiub_author_440
707,aiub_author_442
708,aiub_author_443
709,aiub_author_444
710,aiub_author_445
711,aiub_author_446
712,aiub_author_447
713,aiub_author_448
714,aiub_author_449
715,aiub_author_45
716,aiub_author_450
233,aiub_author_451
217,aiub_author_452
6,aiub_author_454
717,aiub_author_455
718,aiub_author_456
645,aiub_author_457
719,aiub_author_458
208,aiub_author_459
720,aiub_author_46
721,aiub_author_460
297,aiub_author_461
551,aiub_author_462
722,aiub_author_463
701,aiub_author_464
702,aiub_author_465
702,aiub_author_465
218,aiub_author_466
3,aiub_author_467
89,aiub_author_468
723,aiub_author_469
723,aiub_author_469
724,aiub_author_47
40,aiub_author_470
725,aiub_author_471
726,aiub_author_473
39,aiub_author_474
727,aiub_author_475
67,aiub_author_476
67,aiub_author_477
67,aiub_author_477
728,aiub_author_478
208,aiub_author_479
729,aiub_author_48
730,aiub_author_481
731,aiub_author_482
732,aiub_author_484
733,aiub_author_485
734,aiub_author_486
735,aiub_author_487
735,aiub_author_487
736,aiub_author_488
737,aiub_author_489
451,aiub_author_49
738,aiub_author_490
739,aiub_author_491
714,aiub_author_492
740,aiub_author_493
2,aiub_author_494
741,aiub_author_495
741,aiub_author_495
742,aiub_author_496
743,aiub_author_497
376,aiub_author_498
744,aiub_author_499
62,aiub_author_5
205,aiub_author_50
745,aiub_author_500
746,aiub_author_501
747,aiub_author_502
748,aiub_author_503
749,aiub_author_504
750,aiub_author_505
751,aiub_author_506
752,aiub_author_507
218,aiub_author_508
681,aiub_author_509
83,aiub_author_51
376,aiub_author_510
222,aiub_author_511
44,aiub_author_512
66,aiub_author_513
66,aiub_author_513
562,aiub_author_514
34,aiub_author_515
753,aiub_author_516
25,aiub_author_517
754,aiub_author_518
755,aiub_author_519
9,aiub_author_52
196,aiub_author_520
124,aiub_author_521
127,aiub_author_522
756,aiub_author_528
281,aiub_author_529
6,aiub_author_53
757,aiub_author_530
260,aiub_author_531
139,aiub_author_532
125,aiub_author_534
529,aiub_author_535
468,aiub_author_536
468,aiub_author_536
5,aiub_author_537
40,aiub_author_538
219,aiub_author_539
702,aiub_author_54
758,aiub_author_540
759,aiub_author_541
315,aiub_author_542
32,aiub_author_543
32,aiub_author_544
208,aiub_author_545
213,aiub_author_546
287,aiub_author_547
209,aiub_author_548
210,aiub_author_549
186,aiub_author_55
760,aiub_author_550
285,aiub_author_551
373,aiub_author_552
218,aiub_author_553
761,aiub_author_554
388,aiub_author_555
762,aiub_author_556
9,aiub_author_557
18,aiub_author_558
763,aiub_author_56
764,aiub_author_560
765,aiub_author_561
115,aiub_author_562
766,aiub_author_563
36,aiub_author_564
287,aiub_author_565
767,aiub_author_566
768,aiub_author_567
769,aiub_author_568
770,aiub_author_569
771,aiub_author_57
772,aiub_author_570
457,aiub_author_571
773,aiub_author_572
