Authors,Title
"58.	Mohimenul Kabir, Jaiaid Mobin, Muhammad Ali Nayeem, Muhammad Ahsanul Habib, M Sohel Rahman",Multi-objective optimization and heuristic based solutions for evacuation modeling
"59.	Nabil Ibtehaz, Muhammad EH Chowdhury, Amith Kh,akar, Serkan Kiranyaz, M Sohel Rahman, Susu M Zughaier",RamanNet: a generalized neural network architecture for Raman spectrum analysis
,60.	Ahmed Shehab Sarar and Rifat Zaara Tasnim and Rahman M Saifur and Rahman M Sohel
61.	Nayeem Muhammad Ali and Samudro Naser Anjum and Rahman M Saifur and Rahman M Sohel,MAMMLE: A Framework for Phylogeny Estimation Based on Multiobjective Application-aware Multiple Sequence Alignment and Maximum Likelihood Ensemble
"62.	Mim Sharmin Akter, Md Zarif-Ul-Alam, Rezwana Reaz, Md Shamsuzzoha Bayzid, and Mohammad Saifur Rahman",Quartet Fiduccia–Mattheyses revisited for larger phylogenetic studies
63.	Abrar Mohammed Abid and Kaykobad M and Rahman M Saifur and Samee Md Abul Hassan,NoVaTeST: identifying genes with location-dependent noise variance in spatial transcriptomics data
"64.	Zakia Zaman, Fazle Rafsani, Ishrak R Rahman, Sabidur Rahman, Mahmuda Naznin",DeepVRM: Deep Learning Based Virtual Resource Management for Energy Efficiency
"65.	Jamalia Sultana, Benzir Md Ahmed, Mohammad Mehedy Masud, A. K. Obidul Huq, Mohammed Eunus Ali, Mahmuda Naznin",A Study on Food Value Estimation From Images: Taxonomies
"66.	Adnan Quaium, Najla Abdulrahman Al-Nabhan, Masfiqur Rahaman, Saiful Islam Salim, Tarik Reza Toha, Jannatun Noor, Mainul Hossain, Nafisa Islam, Aaiyeesha Mostak, Md Shihabul Islam, Md. Masum Mushfiq, Ishrat Jahan, A.B.M. Alim Al Islam",Towards associating negative experiences and recommendations reported by Hajj pilgrims in a mass-scale survey
"67.	A K M Mehedi Hasan, Ajmain Yasar Ahmed, Sazan Mahbub, M Saifur Rahman, Shamsuzzoha Bayzid",SAINT-Angle: self-attention augmented inception-inside-inception network and transfer learning improve protein backbone torsion angle prediction
68.	Santa Maria Shithil and Muhammad Abdullah Adnan,A Prediction Based Replica Selection Strategy for Reducing Tail Latency in Geo-Distributed Systems
"69.	Navid Bin Hasan, Metin Balaban, Avijit Biswas, Md. Shamsuzzoha Bayzid, Siavash Mirarab",Distance-Based Phylogenetic Placement with Statistical Support
,70.	Mohammad Tawhidul Hasan Bhuiyan and Muhammad Rashed Alam and M. Sohel Rahman
"71.	Md. Ashiqur Rahman, Abdullah Aman Tutul, Sifat Muhammad Abdullah, and Md. Shamsuzzoha Bayzid",CHAPAO: likelihood and hierarchical reference based representation of biomolecular sequences and applications to compressing multiple sequence alignments
"72.	Md. Adnanul Islam, Md. Saidul Hoque Anik, and A. B. M. Alim Al Islam",An enhanced rbmt: When rbmt outperforms modern data-driven translators
"73.	Heba Kurdi, Amal Alzuhair, Dana Alotaibi, Hesah Alsweed, Noor Almoqayyad, Razan Albaqami, Alhanoof Althnian, Najla Alnabhan, and A. B. M. Alim Al Islam Heba Kurdi, Amal Alzuhair, Dana Alotaibi, Hesah Alsweed, Noor Almoqayyad, Razan Albaqami, Alhanoof Alth",Crowd Evacuation in Hajj Stoning Area: Planning through Modeling and Simulation
"74.	Taslim Arefin Khan, Tarik Reza Toha, Saiful Islam Salim, Md Toki Tahmid, and A.B.M. Alim Al Islam",Escalating post-disaster rescue missions through ad-hoc victim localization exploiting Wi-Fi networks
"75.	Tarik Reza Toha, Najla Abdulrahman Al-Nabhan, Saiful Islam Salim, Masfiqur Rahaman, Uday Kamal, and A.B.M. Alim Al Islam",LC-Net: Localized Counting Network for Extremely Dense Crowds
"76.	Jannatun Noor, Md. Nazrul Huda Shanto, Joyanta Jyoti Mondal,Md. Golam Hossain, Sriram Chellappan, and A. B. M. Alim Al Islam",Orchestrating Image Retrieval and Storage Over a Cloud System
"77.	Metin Balaban, Nishat Anjum Bristy, Ahnaf Faisal, Md Shamsuzzoha Bayzid, Siavash Mirarab",Genome-wide alignment-free phylogenetic distance estimation under a no strand-bias model
"78.	Sazan Mahbub, Md Shamsuzzoha Bayzid",EGRET: edge aggregated graph attention networks and transfer learning improve proteinâ€“protein interaction site prediction
"79.	Md Ruhul Amin, Md Shohrab Hossain",An RTS-CTS based medium access control protocol for full-duplex wireless local area networks
"80.	Arup Barua, Md Abdullah Al Alamin, Md Shohrab Hossain, Ekram Hossain",Security and privacy threats for bluetooth low energy in iot and wearable devices: A comprehensive survey
"81.	Asad Ali, Samin Rahman Khan, Sadman Sakib, Md Shohrab Hossain, Ying-Dar Lin",Federated 3GPP Mobile Edge Computing systems: a transparent proxy for third party authentication with application mobility support
"82.	Faria Huq, Masum Hasan, Md Mahim Anjum Haque, Sazan Mahbub, Anindya Iqbal",Review4Repair: Code review aided automatic program repairing
"83.	Md Ashraful Islam, Mir Mahathir Mohammad, Sarkar Snigdha Sarathi Das, Mohammed Eunus Ali",A survey on deep learning based Point-of-Interest (POI) recommendations
"84.	Md Saddam Hossain Mukta, Salekul Islam, Swakkhar Shatabda, Mohammed Eunus Ali, Akib Zaman",Predicting academic performance: Analysis of studentsâ€™ mental health condition from social media interactions
"85.	Syed Moshfeq Salaken , Imali Hettiarachchi , Afsana Ahmed Munia , Md Mehedi Hasan , Abbas Khosravi , Shady Mohamed , Ashikur Rahman",Predicting Cognitive Load of an Individual With Knowledge Gained From Others: Improvements in Performance Using Crowdsourcing
"86.	Md Adnan Arefeen, Sumaiya Tabassum Nimi, M Sohel Rahman",Neural Network-Based Undersampling Techniques
"87.	Sazan Mahbub, Shashata Sawmya, Arpita Saha, Rezwana Reaz, M Sohel Rahman, Md Shamsuzzoha Bayzid",Quartet Based Gene Tree Imputation Using Deep Learning Improves Phylogenomic Analyses Despite Missing Data
"88.	Sakib Mahmud, Nabil Ibtehaz, Amith Kh,akar, Anas M Tahir, Tawsifur Rahman, Kh,aker Reajul Islam, Md Shafayet Hossain, M Sohel Rahman, Farayi Musharavati, Mohamed Arselene Ayari, Mohammad Tariqul Islam, Muhammad EH Chowdhury",A Shallow U-Net Architecture for Reliably Predicting Blood Pressure (BP) from Photoplethysmogram (PPG) and Electrocardiogram (ECG) Signals
"89.	Md Zahangir Alam, Albino Simonetti, Raffaele Brillantino, Nick Tayler, Chris Grainge, P,ula Siribaddana, SA Reza Nouraei, James Batchelor, M Sohel Rahman, Eliane V Mancuzo, John W Holloway, Judith A Holloway, Faisal I Rezwan",Predicting Pulmonary Function From the Analysis of Voice: A Machine Learning Approach
"90.	Bassam Ali Jaber, Mowafa Househ, Zubair Shah, M Sohel Rahman, Mounir Hamdi, Kabir H Biswas, Tanvir Alam",Gulf Cooperation Council Clinical Trials in the Pursuit of Medications for COVID-19
"91.	Shehab S Ahmed, Zaara T Rifat, Ruchi Lohia, Arthur J Campbell, A Keith Dunker, M Sohel Rahman",Characterization of intrinsically disordered regions in proteins informed by human genetic diversity
"92.	Farhanaz Farheen, Md Salman Shamil, Nabil Ibtehaz, M Sohel Rahman",Revisiting segmentation of lung tumors from CT images
"93.	Sheikh Saifur Rahman Jony, Tsuyoshi Kano, Ryotaro Hayashi, Norihiko Matsuda, M Sohel Rahman",An Exploratory Study of Online Job Portal Data of the ICT Sector in Bangladesh: Analysis
"94.	Minjun Park, Salvi Singh, Samin Rahman Khan, Mohammed Abid Abrar, Francisco Grisanti, M Sohel Rahman, Md Abul Hassan Samee",Multinomial Convolutions for Joint Modeling of Regulatory Motifs and Sequence Activity Readouts
"95.	Mohammad Tawhidul Hasan Bhuiyan, Muhammad Rashed Alam, M Sohel Rahman",Computing the longest common almost-increasing subsequence
"96.	Nabil Ibtehaz, Sakib Mahmud, Muhammad EH Chowdhury, Amith Kh,akar, Muhammad Salman Khan, Mohamed Arselene Ayari, Anas M Tahir, M Sohel Rahman",PPG2ABP: Translating Photoplethysmogram (PPG) Signals to Arterial Blood Pressure (ABP) Waveforms
"97.	Mahdi Baghbanzadeh, Madison Smith, Juergen Pilz, M Sohel Rahman, Ajlina Karamehic-Muratovic, Ashvita Garg, Esther Annan, Uyen-Sa DT Nguyen, Nathan Schedler, Rajesh N,y, Rafiul Islam, Ubydul Haque",Country-Level Governance Indicators as Predictors of COVID-19 Morbidity
"98.	Deponker Sarker Depto, Md Mashfiq Rizvee, Aimon Rahman, Hasib Zunair, M Sohel Rahman",Quantifying imbalanced classification methods for leukemia detection
"99.	Sakib Mahmud, Nabil Ibtehaz, Amith Kh,akar, M Sohel Rahman, Antonio JR Gonzales, Tawsifur Rahman, Md Shafayet Hossain, Md Sakib Abrar Hossain, Md Ahasan Atick Faisal, Farhan Fuad Abir, Farayi Musharavati, Muhammad EH Chowdhury",NABNet: A Nested Attention-guided BiConvLSTM network for a robust prediction of Blood Pressure components from reconstructed Arterial Blood Pressure waveforms using PPG and ECG signals
"100.	Md. Manzurul Hasan, Shaheena Sultana, Md. Saidur Rahman",Sliding column model for t- unit bar visibility representations of graphs
,101.	Jony Sheikh Saifur Rahman and Shahriyar Rifat and Rahman M Saifur and Rahman M Sohel and Alam Tanvir
102.	Sana Joydeb Kumar and Abedin Mohammad Zoynul and Rahman M Sohel and Rahman M Saifur,A novel customer churn prediction model for the telecommunication industry using data transformation methods and feature selection
,103.	Tarafder Sumit and Islam Mazharul and Shatabda Swakkhar and Rahman Atif
"104.	Md. Afzalur Rahaman, Abu Sayed Md. Latiful Hoque",An effective evaluation system to grade programming assignments automatically
105.	Shahidul Islam Khan,Abir Bin Ayub Khan and Abu Sayed Md Latiful Hoque
"106.	Tanveer Awal, Md. Masum Mushfiq, A. B. M. Alim Al Islam",Fault Tolerance Analysis of Car-Following Models for Autonomous Vehicles
"107.	Shareef Ahmed, Shin-ichi Nakano, Md. Saidur Rahman",r -Gatherings on a star and uncertain r-gatherings on a line
,108.	Das Sarkar Snigdha Sarathi and Shanto Subangkar Karmaker and Rahman Masum and Islam Md Saiful and Rahman Atif Hasan and Masud Mohammad M and Ali Mohammed Eunus
"109.	Md Raihan Mia, Abu Sayed Md Latiful Hoque, Shahidul Islam Khan, Sheikh Iqbal Ahamed",A privacy-preserving National Clinical Data Warehouse: Architecture and analysis
"110.	Md. Manzurul Hasan, Shaheena Sultana, Md. Saidur Rahman",Sliding Column Model for t-Unit Bar VIibility Representations of Graphs
"111.	Sheikh Azizul Hakim, Bishal Basak Papan, Md. Saidur Rahman",New results on pairwise compatibility graphs
"112.	Md. Manzurul Hasan, Debajyoti Mondal, Md. Saidur Rahman",Positive planar satisfiability problems under 3-connectivity constraints
"113.	Khairul Islam, Toufique Ahmed, Rifat Shahriyar, Anindya Iqbal, Gias Uddin",Early prediction for merged vs abandoned code changes in modern code reviews
"114.	T. M. Tariq Adnan, Md. Saiful Islam, Tarikul Islam Papon, Shourav Nath, Muhammad Abdullah Adnan",UACD: A Local Approach for Identifying the Most Influential Spreaders in Twitter in a Distributed Environment
"115.	Md Saiful Islam, Mohammed Eunus Ali, Yong-Bin Kang, Timos Sellis, Farhana M Choudhury, Shamik Roy",Keyword aware influential community search in large attributed graphs
"116.	Muhammad Ali Nayeem, Md. Shamsuzzoha Bayzid, Naser Anjum Samudro, Mohammad Saifur Rahman, and M. Sohel Rahman,",PASTA with many application-aware optimization criteria for alignment based phylogeny inference
"117.	Bishal Basak Papan, Protik Bose Pranto, Md Saidur Rahman",On 2-Interval Pairwise Compatibility Properties of Two Classes of Grid Graphs
"118.	T.M. Tariq Adnan, Md. Saiful Islam, Tarikul Islam Papon, Shourav Nath, Muhammad Abdullah Adnan,",UACD: A Local Approach for Identifying the Most Influential Spreaders in Twitter in a Distributed Environment
"119.	Md. Rafi-Ur-Rashid, Mahim Mahbub and Muhammad Abdullah Adnan, , Breaking the Curse of Class Imbalance: Bangla Text Classification",ACM Transactions on Asian and Low-Resource Language Information Processing
"120.	Md. Saqib Hasan, Rukshar Alam, Muhammad Abdullah Adnan",Compressed Neural Architecture Utilizing Dimensionality Reduction and Quantization
"121.	Sharafat Ibn Mollah Mosharraf, Muhammad Abdullah Adnan",Improving Lookup and Query Execution Performance in Distributed Big Data Systems using Cuckoo Filter
"122.	Mohammad Mamun Elahi, Md. Mahbubur Rahman, Mohammad Mahfuzul Islam",An efficient authentication scheme for secured service provisioning in edge-enabled vehicular cloud networks towards sustainable smart cities
"123.	Junaed Younus Khan, Md Tawkat Islam Khondaker, Sadia Afroz, Gias Uddin, and Anindya Iqbal",A benchmark study of machine learning models for online fake news detection.
"124.	Mohammad Tawhidul Hasan Bhuiyan, Irtesam Mahmud Khan, Sheikh Saifur Rahman Jony, Renee Robinson, Uyen-Sa D. T. Nguyen, David Keellings, M. Sohel Rahman, Ubydul Haque",The Disproportionate Impact of COVID-19 among Undocumented Immigrants and Racial Minorities in the US
"125.	Zakaria Mehrab, Jaiaid Mobin, Ibrahim Asadullah Tahmid, and Atif Rahman",Efficient association mapping from k-mers—an application in finding sex-specific sequences
"126.	S. Akter , S. Chellappan , T. Chakraborty , T. A. Khan, A. Rahman, and A. B. M. A. A. Islam",Man-in-the-Middle Attack on Contactless Payment over NFC Communications: Design
"127.	Jannatun Noor, Saiful Islam Salim, and A.B.M. Alim Al Islam",Strategizing secured image storing and efficient image retrieval through a new cloud framework
"128.	Afnan Alhindi, Deem Alyami, Aziza Alsubki, Razan Almousa, Najla Al Nabhan, and A. B. M. Alim Al Islam, andHeba Kurdi",Emergency Planning for UAV-Controlled Crowd Evacuations
"129.	Ishrat Tanzila Farah, Muktadirul Islam, Kazi Tasnim Zinat, Atif Hasan Rahman, Shamsuzzoha Bayzid",Species tree estimation from gene trees by minimizing deep coalescence and maximizing quartet consistency: a comparative study and the presence of pseudo species tree terraces
"130.	Zaineb Chelly Dagdia, Pavel Avdeyev, Md Shamsuzzoha Bayzid",Biological computation and computational biology: survey
"131.	Neamat Al Sarah, Fahmida Yasmin Rifat, Md Shohrab Hossain, Husnu S Narman",An efficient android malware prediction using Ensemble machine learning algorithms
"132.	Mohammad Nafis Ul Islam, Ahmed Fahmin, Md Shohrab Hossain, Mohammed Atiquzzaman",Denial-of-service attacks on wireless sensor network and defense techniques
"133.	Monjur, Mahathir and Hoque, Iram Tazim and Hashem, Tanzima and Rakib, Md Abdur and Kim, Judy E and Ahamed, Sheikh Iqbal",Smartphone based fundus camera for the diagnosis of retinal diseases
"134.	Najla Al-Nabhan, Shouq Alenazi, Salwa Alquwaifili, Shahad Alzamzami, Leen Altwayan, Nouf Alaloula, Raghad Alowaini, A. B. M. Alim Al Islam",An Intelligent IoT Approach for Analyzing and Managing Crowds
"135.	Md Adnanul Islam, Md Saidul Hoque Anik, ABM Alim Al Islam",Towards achieving a delicate blending between rule-based translator and neural machine translator
"136.	Junaed Younus Khan, Md Tawkat Islam Khondaker, Sadia Afroz, Gias Uddin, Anindya Iqbal",A benchmark study of machine learning models for online fake news detection
"137.	Masum Hasan, Anindya Iqbal, Mohammad Rafid Ul Islam, AJM Imtiajur Rahman, Amiangshu Bosu",Using a balanced scorecard to identify opportunities to improve code review effectiveness: an industrial experience report
"138.	Sheikh Saifur Rahman Jony, Ubydul Haque, Nathaniel J. Webb, Emily Spence, Md. Siddikur Rahman, Nasrin Aghamohammadi, Yongchan Lie, Aracely Angulo-Molina, Sushmitha Ananth, Xuelian Ren, Nobuyuki Kawachi, Hiromu Ito, Osman Ulvi, Jailos Lubinda, Ajlina Karam",Analyzing Predictors of Control Measures and Psychosocial Problems Associated with COVID-19 Pandemic: Evidence from Eight Countries
,139.	Md. Salman Shamil and Farhanaz Farheen and Nabil Ibtehaz and Irtesam Mahmud Khan and M. Sohel Rahman
"140.	Md Saddam Hossain Mukta, Ahmed Shahriar Sakib, Md Adnanul Islam, Mohammed Eunus Ali, Mohiuddin Ahmed, Mumshad Ahamed Rifat",Friendsâ€™ influence driven usersâ€™ value change prediction from social media usage
"141.	Lingxiao Li, Muhammad Aamir Cheema, Hua Lu, Mohammed Eunus Ali, Adel N Toosi, Comparing Alternative Route Planning Techniques",Comparing Alternative Route Planning Techniques: A Comparative User Study on Melbourne
"142.	Sajid Hasan Apon, Mohammed Eunus Ali, Bishwamittra Ghosh, Timos Sellis, Social-spatial group queries with keywords",ACM Transactions on Spatial Algorithms and Systems (TSAS)
"143.	Sarkar Snigdha Sarathi Das, Mohammed Eunus Ali, Yuan-Fang Li, Yong-Bin Kang, Timos Sellis",Boosting house price predictions using geo-spatial network embedding
"144.	Ahmed Shahriar Sakib, Md Saddam Hossain Mukta, Fariha Rowshan Huda, AKM Najmul Islam, Tohedul Islam, Mohammed Eunus Ali",Identifying insomnia from social media posts: psycholinguistic analyses of user tweets
"145.	Nabil Ibtehaz, M Kaykobad, M Sohel Rahman",Multidimensional segment trees can do range updates in poly-logarithmic time
"146.	Md Shariful Islam Bhuyan, Itsik Peâ€™er, M Sohel Rahman",SICaRiO: short indel call filtering with boosting
"147.	Aimon Rahman, M Sohel Rahman, MRC Mahdy",3C-GAN: class-consistent CycleGAN for malaria domain adaptation model
"148.	Deponker Sarker Depto, Shazidur Rahman, Md Mekayel Hosen, Mst Shapna Akter, Tamanna Rahman Reme, Aimon Rahman, Hasib Zunair, M Sohel Rahman",Automatic segmentation of blood cells from microscopic slides: A comparative analysis
