UID1,UID2,Title
7758,8071,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
7898,8054,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
7898,8071,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
8054,8071,"perovskite materials in x-ray detection and imaging: recent progress, challenges, and future prospects"
7621,7642,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7621,7652,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7621,7656,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7621,7970,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7621,7982,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7642,7652,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7642,7656,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7642,7970,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7642,7982,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7652,7656,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7652,7970,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7652,7982,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7656,7970,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7656,7982,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7970,7982,"structural, thermodynamic, and magnetic properties of srfe12o19 hexaferrite modified by co-substitution of cu and gd"
7064,8010,"a study on cyber security: analyzing current threats, navigating complexities, and implementing prevention strategies"
7064,8333,"a study on cyber security: analyzing current threats, navigating complexities, and implementing prevention strategies"
8010,8333,"a study on cyber security: analyzing current threats, navigating complexities, and implementing prevention strategies"
7163,7350,cidata: an ontology-based framework for international data transfers and gdpr compliance
7163,7745,cidata: an ontology-based framework for international data transfers and gdpr compliance
7163,8067,cidata: an ontology-based framework for international data transfers and gdpr compliance
7350,7745,cidata: an ontology-based framework for international data transfers and gdpr compliance
7350,8067,cidata: an ontology-based framework for international data transfers and gdpr compliance
7745,8067,cidata: an ontology-based framework for international data transfers and gdpr compliance
7251,7855,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7251,7913,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7251,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7251,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7855,7913,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7855,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7855,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7913,8021,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7913,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
8021,8623,a robust and light-weight transfer learning-based architecture for accurate detection of leaf diseases across multiple plants using less amount of images
7700,8811,nano-bioconvective anisotropic slip flow in anisotropic porous medium with coriolis force effects
7302,7381,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,7446,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,7471,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,7733,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,7758,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7302,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,7446,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,7471,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,7733,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,7758,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7381,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,7471,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,7733,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,7758,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7446,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7471,7733,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7471,7758,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7471,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7471,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7471,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7733,7758,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7733,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7733,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7733,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7758,7895,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7758,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7758,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7895,8383,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
7895,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
8383,8476,a brief insight on electrochemical energy storage toward the production of value-added chemicals and electricity generation
6795,7890,enhancing academic integrity for bangladesh's educational landscape
6795,8359,enhancing academic integrity for bangladesh's educational landscape
7890,8359,enhancing academic integrity for bangladesh's educational landscape
7115,7892,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7115,7956,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7115,8061,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7115,8148,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7115,8154,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7892,7956,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7892,8061,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7892,8148,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7892,8154,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7956,8061,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7956,8148,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7956,8154,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
8061,8148,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
8061,8154,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
8148,8154,"bifurcation, phase plane analysis and exact soliton solutions in the nonlinear schrodinger equation with atangana’s conformable derivative"
7290,7385,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7290,7486,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7290,7878,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7290,8781,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7385,7486,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7385,7878,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7385,8781,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7486,7878,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7486,8781,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7878,8781,effect of silver doping on the band gap tuning of tungsten oxide thin films for optoelectronic applications
7677,7678,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7677,7892,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7677,8415,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7677,8439,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7678,7892,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7678,8415,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7678,8439,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7892,8415,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7892,8439,free convection at different locations of adiabatic elliptic blockage in a square enclosure
8415,8439,free convection at different locations of adiabatic elliptic blockage in a square enclosure
7254,7909,security analysis in online transaction systems: a proposed framework
7254,7934,security analysis in online transaction systems: a proposed framework
7254,8335,security analysis in online transaction systems: a proposed framework
7254,8497,security analysis in online transaction systems: a proposed framework
7909,7934,security analysis in online transaction systems: a proposed framework
7909,8335,security analysis in online transaction systems: a proposed framework
7909,8497,security analysis in online transaction systems: a proposed framework
7934,8335,security analysis in online transaction systems: a proposed framework
7934,8497,security analysis in online transaction systems: a proposed framework
8335,8497,security analysis in online transaction systems: a proposed framework
7282,7375,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
7282,7892,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
7282,7992,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
7375,7892,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
7375,7992,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
7892,7992,finite element analysis for magneto-convection heat transfer performance in vertical wavy surface enclosure: fin size impact
6702,7256,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,7364,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,7503,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,7588,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,8395,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
6702,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,7364,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,7503,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,7588,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,8395,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7256,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7364,7503,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7364,7588,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7364,8395,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7364,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7364,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7503,7588,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7503,8395,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7503,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7503,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7588,8395,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7588,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7588,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
8395,8398,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
8395,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
8398,8405,investigating the z-scan technique for quantifying circulating cell-free dna (ccfdna) extracted from blood plasma as a potential biomarker for various cancers
7049,7337,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7049,7769,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7049,7816,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7049,8671,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7337,7769,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7337,7816,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7337,8671,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7769,7816,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7769,8671,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7816,8671,a comprehensive analysis of blockchain technology and consensus protocols across multilayered framework
7293,7601,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,7754,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,7844,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,7971,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8102,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,7754,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,7844,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,7971,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8102,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7601,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,7844,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,7971,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8102,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7754,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,7971,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8102,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7844,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8102,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7971,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8169,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8102,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8169,8409,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8169,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8169,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8169,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8169,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8409,8434,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8409,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8409,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8409,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8434,8502,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8434,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8434,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8502,8576,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8502,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
8576,8850,fabrication and characterization of c–doped tio2 nanoparticles for the photodegradation of organic dyes
7293,7754,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,7844,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,8102,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,8311,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,8314,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7293,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,7844,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,8102,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,8311,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,8314,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7754,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7844,8102,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7844,8311,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7844,8314,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7844,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7844,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8102,8311,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8102,8314,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8102,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8102,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8311,8314,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8311,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8311,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8314,8409,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8314,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
8409,8434,fabrication and characterisation of b-zno nanoparticles for photodegradation of ciprofloxacin antibiotic and textile dyes
7321,7965,a real-time light-weight computer vision application for driver’s drowsiness detection
7321,8475,a real-time light-weight computer vision application for driver’s drowsiness detection
7965,8475,a real-time light-weight computer vision application for driver’s drowsiness detection
6780,7044,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,7681,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,7914,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,7944,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,8208,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,8505,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
6780,8849,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,7681,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,7914,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,7944,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,8208,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,8505,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
7044,8849,priority based job scheduling technique that utilizes gaps to increase the efficiency of job distribution in cloud computing
