author,title
"Nagifa Ilma Progga, Khairul Islam, Machbah Uddin, Ahmed Shafkat, Farah Jahan and Muhammad Anwarul Azim",Emotion Detection using Deep Learning Approach
"Machbah Uddin, Mohammad Khairul Islam, Md. Rakib Hassan, Aysha Siddika Ratna and Farah Jahan",Phylogeny reconstruction using k−mer derived transition feature
Md J Hosen and I Ahmed,"Comparison of Regression, K-Nearest Neighbors (KNN) and Multi-Layer Perceptron (MLP) Models for the Prediction of Weight, Gender and Body Mass Index Status"
"Sheikh Mohammad Jubaer, Nazifa Tabassum, Md Ataur Rahman, and Mohammad Khairul Islam",BN-DRISHTI: Bangla Document Recognition through Instance-level Segmentation of Handwritten Text Images
Atiqur Rahman* & Emmanuel Ufiteyezu,Smart Parking System for Green Computing
Atiqur Rahman* & Emmanuel Ufiteyezu,Smart Parking Tying Dynamic Costing Method
Atiqur Rahman* & Emmanuel Ufiteyezu,Smart Parking based on iOS Apps for Smart Cities
"Saznila Islam, Fhamida Akter Nishi, Tahmina Akter, Muhammad Anwarul Azim",Monkeypox Skin Lesion Detection with Deep Learning and Machine Learning
"Sanjoy Barua, Tahmina Akter, Mahmud Abu Saleh Musa, Muhammad Anwarul Azim",A Deep Learning Approach for Urban Sound Classification
"Fareen Tasneem, Tashin Hossain, Jannatun Naim, and Abu Nowshed Chy",CSECU-DSG at SemEval-2023 Task 6: Segmenting Legal Documents into Rhetorical Roles via Fine-tuned Transformer Architecture
"Afrin Sultana, Radiathun Tasnia, Nabila Ayman, and Abu Nowshed Chy",CSECU-DSG at SemEval-2023 Task 10: Exploiting Transformers with Stacked LSTM for the Explainable Detection of Online Sexism
"Abdul Aziz, Md. Akram Hossain, and Abu Nowshed Chy",CSECU-DSG at SemEval-2023 Task 4: Fine-tuning DeBERTa Transformer Model with Cross-fold Training and Multi-sample Dropout for Human Values Identification
"Tahmina Akter, Muhammad Anwarul Azim, Mohammad Khairul Islam",Gesture Recognition for Interpretation of Bengali Sign Language using Hyper Parameter Tuning Convolution Neural Network
"Md. Sayeed Iftekhar Yousuf, Machbah Uddin, Mohammad Khairul Islam, Md. Rakib Hassan, Aysha Siddika Ratna, Farah Jahan",DNA matching using k-mer derived spatial features
Shima Chakraborty,Ontology-based Spatio-temporal Data Mining Approach for Health Care in Bangladesh
"Fareen Tasneem, Shima Chakraborty, and Abu Nowshed Chy",An Early Synthesis of Deep Neural Networks to Identify Multimodal Informative Disaster Tweets
"Atiqur Rahman, Ali Md Liton",Smart parking for smart cities: a novel approach to reducing frivolous parking zone determination
"Md Nesarul Hoque, Puja Chakraborty, Md Hanif Seddiqui",The Challenges and Approaches during the Detection of Cyberbullying Text for Low-resource Language: A Literature Review
"Radiathun Tasnia, Nabila Ayman, Afrin Sultana, Abu Nowshed Chy, and Masaki Aono",Exploiting Stacked Embeddings with LSTM for Multilingual Humor and Irony Detection
"A.H.M. Sajedul Hoque, Sadia Tabassum, Rashed Mustafa, Mohammad Sanaullah Chowdhury and Mohammad Osiur Rahman",An Analysis of Islamic Inheritance System Under Object-Oriented Paradigm
"Md. Jawwad Bin Zahir, Muhammad Anwarul Azim, Abu Nowshed Chy, Mohammad Khairul Islam",A Fast and Reliable Approach for COVID-19 Detection from CT-Scan Images
"Ishmamur Rahman, Mohammad Khairul Islam, Abu Nowshed Chy, Muhammad Anwarul Azim",Fusion of Shallow and Deep Features for Classifying Skin Lesions
"Manzur Kabir Ayon, Mohammad Khairul Islam, Abu Nowshed Chy, Muhammad Anwarul Azim",Breast Cancer Detection On Histopathological Imaging Using EfficientNet-V2
I Ahmed and R Biswas,Omniscient Situational Aware Traffic Management System (TMS) for Smart Cities
"A.H.M. Sajedul Hoque, Sadia Tabassum, Abdullah Nazib, Rashed Mustafa and Mohammad Osiur Rahman",An Effective Software Architecture of Islamic Inheritance System Employing Structured Paradigm
"Afrin Sultana, Nihad Karim Chowdhury, and Abu Nowshed Chy",CSECU-DSG@SMM4H’22: Transformer based Unified Approach for Classification of Changes in Medication Treatments in Tweets and WebMD Reviews
"Machbah Uddin, Mohammad Khairul Islam, Md. Rakib Hassan, Farah Jahan and Joong Hwan Baek",A fast and efficient algorithm for DNA sequence similarity identification
"Abdul Aziz, Md. Akram Hossain, and Abu Nowshed Chy",CSECU-DSG at SemEval-2022 Task 3: Investigating the Taxonomic Relationship Between Two Arguments using Fusion of Multilingual Transformer Models
I Ahmed and S D Thakur,IoT and Machine Learning Approach for early Heart Disease Prediction & Diagnosis
"Jannatun Naim, Tashin Hossain, Fareen Tasneem, Abu Nowshed Chy, and Masaki Aono",Leveraging Fusion of Sequence Tagging Models for Toxic Spans Detection
Md. Mahbubul Islam and Joong-Hwan Baek,A Hierarchical Approach toward Prediction of Human Biological Age from Masked Facial Image Leveraging Deep Learning Techniques
I Ahmed,Comparative Study on Sentiment Analysis on Amazon Product Reviews using Recurrent Neural Network
"Rudra Pratap Deb Nath, Oscar Romero, Torben Bach Pedersen, and Katja Hose",High-Level ETL for Semantic Data Warehouses
"Afrin Sultana, Chowdhury, N.K., Abu Nowshed Chy",Csecu-dsg@ smm4h’22: Transformer based unified approach for classification of changes in medication treatments in tweets and webmd reviews.
"Chowdhury, N. K., Kabir, M. A., Rahman, Md. M., Islam, S.M.S.",Machine learning for detecting COVID-19 from cough sounds: An ensemble-based MCDM method.
"Ishmamur Rahman, Mohammad Khairul Islam, Abu Nowshed Chy, and Muhammad Anwarul Azim",Fusion of Shallow and Deep Features for Classifying Skin Lesions
"M. Uddin, M. Khairul Islam, M. Rakib Hassan, A. Siddika Ratna and F. Jahan",A novel part-wise template matching technique for DNA sequence similarity identification
Joyeta Sharma and Abu Nowshed Chy,Exploiting Web Snippets for Multi-label Anime Genre Prediction
"Machbah Uddin, Farah Jahan, Mohammad Khairul Islam and Md Rakib Hassan",A novel DNA-based key scrambling technique for image encryption”
"Machbah Uddin, Farah Jahan, Mohammad Khairul Islam & Md. Rakib Hassan",A novel DNA-based key scrambling technique for image encryption
"Gobinda Chakraborty, Muhammad Anwarul Azim",Predicting Buying Intention of Online Shoppers Using Ensemble Machine Learning
"Abdul Aziz, MD. Akram Hossain, and Abu Nowshed Chy",CSECU-DSG at SemEval-2021 Task 1: Fusion of Transformer Models for Lexical Complexity Prediction
"Tashin Hossain, Jannatun Naim, Fareen Tasneem, Radiathun Tasnia, and Abu Nowshed Chy",CSECU-DSG at SemEval-2021 Task 5: Leveraging Ensemble of Sequence Tagging Models for Toxic Spans Detection
"Tashin Hossain, Jannatun Naim, Fareen Tasneem, Radiathun Tasnia, and Abu Nowshed Chy",CSECU-DSG at SemEval-2021 Task 6: Orchestrating Multimodal Neural Architectures for Identifying Persuasion Techniques in Texts and Images
"Afrin Sultana, Nabila Ayman, and Abu Nowshed Chy",CSECU-DSG at SemEval-2021 Task 7: Detecting and Rating Humor and Offense Employing Transformers
Atiqur Rahman,Smart car parking system model for urban areas
"Kaniz Farhana, Maqsudur Rahman, Muhammad Anwarul Azim, Md. Tofael Ahmed",High-Performance Intrusion Detection System using Deep Learning in Packet and Flow-Based Networks
Md. Mahbubul Islam and Joong-Hwan Baek,Deep Learning Based Real Age and Gender Estimation from Unconstrained Face Image towards Smart Store Customer Relationship Management
"Mahmudul Hasan Bhuiyan, Muhammad Anwarul Azim, Mohammad Khairul Islam, Farah Jahan",Segmentation-free Bangladeshi License Plate Recognition Using YOLO with Heuristic Bounding Box Refinement
"Muhammad Anwarul Azim, Mohammad Khairul Islam, Md. Marufur Rahman, Farah Jahan",An effective feature extraction method for rice leaf disease classification
Atiqur Rahman,Automated smart car parking system for smart cities demand employs internet of things technology
"Muhammad Anwarul Azim, Mohammad Khairul Islam, Md. Marufur Rahman and Farah Jahan",An effective feature extraction method for rice leaf disease classification
"Nusrat Tasnim, Mohammad Khairul Islam, Joong-Hwan Baek",Deep Learning based Human Activity Recognition Using Spatio-Temporal Image Formation of Skeleton Joints
"Md. Miraj Ahamad, Muhammad Anwarul Azim, Mohammad Khairul Islam",Content Based Dynamic Spam Email Filtering Using Naïve Bayes Classifier
"Aditi Sen, Muhammad Anwarul Azim, Mohammad Khairul Islam, Tahmina Akter",Splitting Based Texture Classification Using Local Binary Pattern
"Nasrin Aktar, Muhammad Anwarul Azim, Mohammad Khairul Islam and Tahmina Akter",Recognition of Human Iris Using Histogram of Oriented Gradients and Support Vector Machine
"Tahmina Akter, Muhammad Anwarul Azim and Mohammad Khairul Islam",Hand Gesture Recognition for Interpretation of Sign Language
"Mahmudul Hasan Bhuiyan, Muhammad Anwarul Azim, Mohammad Khairul Islam, Farah Jahan",Segmentation-free Bangladeshi License Plate Recognition Using YOLO with Heuristic Bounding Box Refinement
"Md. Miraj Ahamad, Muhammad Anwarul Azim and Mohammad Khairul Islam",Content Based Dynamic Spam Email Filtering Using Naïve Bayes Classifier
"Abu Nowshed Chy, Umme Aymun Siddiqua, and Masaki Aono",Exploiting Transfer Learning and Hand-Crafted Features in a Unified Neural Model for Identifying Actionable Informative Tweets
"Muhammad Sakib Khan Inan, Rizwan Hasan, Fahim Irfan Alam.",A Hybrid Probabilistic Ensemble based Extreme Gradient Boosting Approach For Breast Cancer Diagnosis
"Muhammad Sakib Khan Inan, Rubaiath E Ulfath, Fahim Irfan Alam, Fateha Khanam Bappee and Rizwan Hasan",Improved Sampling and Feature Selection to Support Extreme Gradient Boosting For PCOS Diagnosis
"Panday, A., Kabir, M. A., Chowdhury, N. K.",A Survey of Machine Learning Techniques for Detecting and Diagnosing COVID-19 from Imaging
"Chowdhury, N. K., Kabir, M. A., Rahman, M. M., and Rezoana, N.",ECOVNet: a highly effective ensemble based deep learning model for detecting COVID-19
"Abu Nowshed Chy, Umme Aymun Siddiqua, and Masaki Aono",CSECU_KDE_MA at SemEval-2020 Task 8: A Neural Attention Model for Memotion Analysis
"Fareen Tasneem, Jannatun Naim, and Abu Nowshed Chy",Harnessing Ensemble of Data Preprocessing and Hand-crafted Features for Irony Detection in Tweets
"Utpal Rudra, Abu Nowshed Chy, and Md. Hanif Seddiqui",Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods
"Muhammad Anwarul Azim, Tanvir and Mohammad Khairul Islam",Network Traffic Classification Using Ensemble Learning with Time Related Features
"Abdul Aziz, Afrin Sultana, MD. Akram Hossain, Nabila Ayman, and Abu Nowshed Chy",Feature Fusion with Hand-crafted and Transfer Learning Embeddings for Cause-Effect Relation Extraction
"Shafayet Ahmed, Abu Nowshed Chy, and Md Zia Ullah",Exploiting Various Word Embedding Models for Query Expansion in Microblog
Sakifa Shah and Abu Nowshed Chy,Fusion of Hand-crafted Features and Deep Semantic Features in a Unified Neural Model for Irony Detection in Microblogs
"Muhammad Anwarul Azim, Md. Jawwad Bin Zahir",Improved Certificate Creation and Verification Architecture Using Hybrid Blockchain
"Fareen Tasneem, Jannatun Naim, Radiathun Tasnia, Tashin Hossain, and Abu Nowshed Chy",CSECU-DSG at WNUT-2020 Task 2: Exploiting Ensemble of Transfer Learning and Hand-crafted Features for Identification of Informative COVID-19 English Tweets
"Mumtahina Ahmed, Abu Nowshed Chy, and Nihad Karim Chowdhury",Incorporating Hand-crafted Features in a Neural Network Model for Stance Detection on Microblog
"Muhammad Anwarul Azim, Tanvir, Mohammad Khairul Islam",Network Traffic Classification Using Ensemble Learning with Time Related Features
"Atiqur Rahman, Li Yun",Automated smart car parking system using raspberry Pi 4 and iOS application
Rudra Pratap Deb Nath,Aspects of Semantic ETL
"Etu Chowdhury, Abu Nowshed Chy, and N. M. Istiak Chowdhury",Exploiting Transfer Learning Ensemble for Visual Sentiment Analysis
"Muhammad Anwarul Azim, Mohammad Khairul Islam, Md. Marufur Rahman, Farah Jahan",Effective Feature Extraction for Rice Leaf Disease Classification using Extreme Gradient Boosting Decision Trees
"Abu Nowshed Chy, Umme Aymun Siddiqua, and Masaki Aono",A Neural Network Model to Identify the Crisis-related Actionable Informative Tweets for Disaster Management
"Atiqur Rahman, Guangfu Wu, Ali Md Liton",Mobile edge computing for internet of things (IoT): security and privacy issues
Iqbal Ahmed,Sustainable Green Service Level Agreement (GSLA) Framework
"Mohammad Osiur Rahman, Aini Hussain, and Hassan Basri",Automated sorting of recycled paper using smart image processing
"I Ahmed, M S Akash","IOT based Smart Irrigation System at University of Chittagong, Bangladesh"
"I Ahmed, M Y Arafat","IoT based Energy Saving Strategies for Student Hall at University of Chittagong, Bangladesh"
"T A Mukta, I Ahmed",Review on E-Waste Management Strategies for Implementing Green Computing
"Fahim Irfan Alam, Jun Zhou, Alan Wee-Chung Liew",Abundance-Guided Superpixels and Recurrent Neural Network for Hyperspectral Image Classification
"J Huang, Y Zhuo, X Tian, D Zhu, R Mustafa",Personalized disease treatment plan suggestion system based on big data and knowledge base
"Utpal Rudra, Abu Nowshed Chy and Md. Hanif Seddiqui",Personality Traits Detection in Bangla: A Benchmark Dataset with Comparative Performance Analysis of State-of-the-Art Methods
"RP Deb Nath, K Hose, TB Pedersen, O Romero, A Bhattacharjee",SETLBI: An Integrated Platform for Semantic Business Intelligence
I Ahmed,Systematic review on evaluating planning process in agile development methods.
I Ahmed,Model for Monitoring Sustainable Green SLA Parameters in Modern Computing Industries
I Ahmed,Visual Object Tracking Fusing CNN and Color Histogram based Tracker and Depth Estimation for Automatic Immersive Audio Mixing
"Sung-Jun Park, Md. Mahbubul Islam, Joong-Hwan Baek",Human Gender Classification Using Transfer Learning Via Pareto Frontier CNN Networks
"Md. Mahbubul Islam, Nusrat Tasnim, Joong-Hwan. Baek",PDCOVIDNet: A Parallel-Dilated Convolutional Neural Network Architecture for Detecting COVID-19 from Chest X-Ray Images
"Chowdhury, N. K., Rahman, M. M., and Kabir, M. A.",Incorporating Hand-crafted Features in a Neural Network Model for Stance Detection on Micro blog
"UA SIDDIQUA, AN CHY, M AONO",Tweet Stance Detection Using Multi-Kernel Convolution and Attentive LSTM Variants
"Mohammad Abdullah Al Mumin, Md Hanif Seddiqui, Muhammed Zafar Iqbal and Mohammed Jahirul Islam",Neural Machine Translation for Low-resource English-Bangla
"P. Chakraborty, M. H. Seddiqui",An Implementation of Machine Learning and Natural Language Processing to Detect Cyber Bullying in Bengali Language
"UA Siddiqua, AN Chy, M Aono",KDEHatEval at SemEval-2019 Task 5: A Neural Network Model for Detecting Hate Speech in Twitter
"Mohammad Abdullah Al Mumin, Md Hanif Seddiqui, Muhammed Zafar Iqbal, Jahirul Islam",Shu-torjoma: An English-Bangla Statistical Machine Translation
"UA Siddiqua, AN Chy, M Aono",Tweet Stance Detection Using an Attention based Neural Ensemble Model
"Fahim Alam, Jun Zhou, Alan Wee-Chung Liew, Jun Jo and Yongsheng Gao",Triplet Constrained Deep Feature Extraction for Hyperspectral Image Classification
"P. Chakraborty, M. H. Seddiqui",Threat and Abusive Language Detection on Social Media in Bengali Language
"Nayan Banik, Md Hasan Hafizur Rahman, Shima Chakraborty, Hanif Seddiqui, Muhammad Anwarul Azim",Survey on text-based sentiment analysis of bengali language
"Sadia Tabassum, A. H. M. Sajedul Hoque, Sharaban Twahura and Mohammad Osiur Rahman",Developing an Islamic Farayez System Applying Software Engineering
"Sadia Tabassum, A. H. M. Sajedul Hoque, Sharaban Twahura and Mohammad Osiur Rahman",Developing an Islamic Farayez System Applying Software Engineering
This paper proposes computational models for computing shares of deceased according to Islamic Farayez and justifies the proposed models applying 10 complex real cases.,"UKM press, Journal of Engineering, April - 2019"
"S. Muntaha, T. Rahman, M. H. Seddiqui",A Systematic Review of Electronic Health Record - Based Disease Prediction Approaches
Keyword Extraction in Bangla Scientific documents: A Hybrid Approach,"Computer Science and Engineering Research Journal, Vol. 11, 36 - 4 8, January - 2019"
"Computer Science and Engineering Research Journal 11(1), 28-35, January - 2019","Khaled Hasan Sazzad, Md Abdullah Al Mumin, Muhammad Anwarul Azim"
"AN Chy, UA Siddiqua, M Aono",Neural Networks and Support Vector Machine based Approach for Classifying Tweets by Information Types at TREC 2018 Incident Streams Task
Query Expansion for Microblog Retrieval Focusing on an Ensemble of Features,"TREC, 27th Text REtrieval Conference (TREC), 1-7, 2019, 1-7, 2019"
"Journal of Information Processing, 27, 61-76, 2019","AN Chy, MZ Ullah, M Aono"
Editor: Rudro Saiful,Rise of Bangladesh: Sheikh Hasina Factor
Prof. Dr. Hanif Seddiqui is one of the Editorial Board Members.,"Ekattor, 2019"
"AC Eilertsen, DH Rose, PL Erichsen, RE Christensen, RPD Nath",Languagesâ€™ Impact on Emotional Classification Methods
A brief review: security issues in cloud computing and their solutions.,"2019 Federated Conference on Computer Science and Information Systems â€¦, 2019, 2019"
"Telkomnika 17 (6), 2019, 2019",I Ahmed
"I Ahmed, T Yoshihara, Y He, O Fukuda, H Okumura, K Arai, K Endo, ...",Evaluating Programmed Artifical Insemination for Cattle Production
Authors,Title
M. A. Rahman and M. H. Seddiqui,Comparison of Classical Machine Learning Approaches on Bangla Textual Emotion Analysis
Bangladeshi License Plate Detection and Recognition with Morphological Operation and Convolution Neural Network,"IEEE, 21st International Conference on Computer and Information Technology (ICCIT), December - 2018"
"21st International Conference of Computer and Information Technology (ICCIT), December - 2018","Golam Rabbani, Mohammad Aminul Islam, Muhammad Anwarul Azim, Mohammad Khairul Islam, Md. Mostafizur Rahman"
"Golam Rabbani, Mohammad Aminul Islam, Muhammad Anwarul Azim, Mohammad Khairul Islam, Md Mostafizur Rahman",Bangladeshi license plate detection and recognition with morphological operation and convolution neural network
Fusion of Hyperspectral and LiDAR Data Using Discriminant Correlation Analysis for Land Cover Classification,"IEEE, 21st International Conference of Computer and Information Technology, 1-5, December - 2018"
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing, vol. 11, no. 10, pp. 3905 - 3917, September - 2018","Farah Jahan, Jun Zhou, Mohammad Awrangjeb and Yongsheng Gao"
"Fahim Irfan Alam, Jun Zhou, Alan Wee-Chung Liew, Xiuping Jia, Jocelyn Chanussot, Yongsheng Gao",Conditional Random Field and Deep Feature Learning for Hyperspectral Image Classification
"This paper is a major contribution of my PhD thesis. In this work, we proposed a method to classify hyperspectral images by considering both spectral and spatial information via a combined framework consisting of 3D Convolutional Neural Network (CNN) and Conditional Random Field (CRF). We used multiple spectral band groups to learn deep features using CNN, and then formulate deep CRF with CNN-based unary and pairwise potential functions to effectively extract the semantic correlations between patches consisting of 3-D data cubes. Furthermore, we introduced a deep deconvolution network that improves the final classification performance. We also introduced a new data set and experimented our proposed method on it along with several widely adopted benchmark data sets to evaluate the effectiveness of our method.","IEEE Transactions on Geoscience and Remote Sensing, Volume: 57, Issue: 3, 1612 - 1628, September - 2018"
"Nahida Nigar, Muhammad Anwarul Azim",Fairness comparison of TCP variants over proactive and reactive routing protocol in MANET
Integration of Heterogeneous Features from Co-registered Hyperspectral and LiDAR Data for Land Cover Classification,"Institute of Advanced Engineering and Science (IAES), Indonesia, International Journal of Electrical and Computer Engineering 8 (4), August - 2018"
"2018 10th IAPR Workshop on Pattern Recognition in Remote Sensing (PRRS), August - 2018","Farah Jahan, Jun Zhou, Mohammad Awrangjeb and Yongsheng Gao"
"Md Shajalal, Masaki Aono, Muhammad Anwarul Azim",Aspect-based query expansion for search results diversification
Text to Emotion Extraction Using Supervised Machine Learning Techniques,"IEEE, Joint 7th International Conference on Informatics, Electronics & Vision, June - 2018"
"University Ahmad Dahlan, Indonesia, TELKOMNIKA Telecommunication, Computing, Electronics and Control 16 (3), June - 2018","Muhammad Anwarul Azim, Mahmudul Hasan Bhuiyan"
"Md Shajalal, Masaki Aono, Muhammad Anwarul Azim",Diversifying Search Result Leveraging Aspect-based Query Expansion
Stance Detection on Microblog Focusing on Syntactic Tree Representation,"Society of Digital Information and Wireless Communications (SDIWC), Hong Kong, International Journal of New Computer Architectures and Their Applications 8(2), April - 2018"
"Springer, The Third International Conference on Data Mining and Big Data (DMBD), 478-490, 2018","UA Siddiqua, AN Chy, M Aono"
"MS Hossain, S Rahaman, R Mustafa, K Andersson",A belief rule-based expert system to assess suspicion of acute coronary syndrome (acs) under uncertainty
A Method to Recognize Food using Gist and SURF Features,"Soft Computing 22 (22), 7571-7586, 2018, 2018"
"2018 Joint 7th International Conference on Informatics, Electronics & Vision â€¦, 2018, 2018","R Mustafa, P Dhar"
I Ahmed,Sustainable Green Service Level Agreement (GSLA) Framework Development for IT and ICT Based Industries.
Combining Unmixing and Deep Feature Learning for Hyperspectral Image Classification,2018
"IEEE, Proceedings of the International Conference on Digital Image Computing: Techniques and Applications (DICTA), 1-6, December - 2017","Fahim Alam, Jun Zhou, Lei Tong, Alan Wee-Chung Liew, Yongsheng Gao"
Classifier-Free Detection of Power Line Pylons from Point Cloud Data,"This work is a part of my PhD contributions. Considering the usefulness of Unmixing techniques, we proposed to utilize the unmixing results as an input to classifiers for better classification accuracy. We proposed a novel band group based structure preserving nonnegative matrix factorization (NMF) method to estimate the individual spectral responses from different materials within different ranges of wavelengths. Then we train a convolutional neural network (CNN) with the unmixing results to generate powerful features and eventually classify the data."
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences, Volume IV-4/W4, 2017, 4th International GeoAdvances Workshop, Safranbolu, Karabuk, Turkey, October - 2017","Mohammad Awrangjeb, Mohammad Khairul Islam"
"Jannatul Maowa, A.H.M. Sajedul Hoque, Rashed Mustafa and Mohammad Osiur Rahman",A Comparative Study on Big Data Handling Using Relational and Non -Relational Data Model
This paper illustrates the comparison between Relational and Non-Relational Database.,"International Journal of Data Mining & Knowledge Management Process (IJDKP), Volume:7, Issue :3, 25-32, May - 2017"
"Ishrat Nahar Farhana, A.H.M. Sajedul Hoque, Rashed Mustafa and Mohammad Sanaullah Chowdhury",Building a Classifier Employing Prism Algorithm with Fuzzy Logic
