"IEEE, Proceedings of the IEEE International Geoscience and Remote Sensing Symposium (IGARSS), 1-4, November - 2016","This is the first contribution of my PhD thesis. In order to utilize both spectral and spatial information to segment remote sensing hyperspectral images, we proposed to combine the properties of Convolutional Neural Network (CNN) and Conditional Random Field (CRF). A mean-field approximation algorithm for CRF inference is used and formulated with Gaussian pairwise potentials as Recurrent Neural Network. This combined network is then plugged into the CNN which leads to a deep network that has robust characteristics of both CNN and CRF."
Fire Detection in Still Image Using Color Model,"Hira Lal Gope, Machbah Uddin, Shohag Barman, Dilshad Islam, Dr. Mohammad Khairul Islam"
"Indonesian Journal of Electrical Engineering and Computer Science, vol. 3, no. 3, 618-625, October - 2016",Crowd Detection in Still Images Using Combined HOG and SIFT Feature
"Machbah Uddin, Hira Lal Gope, Md. Sayeed Iftekhar Yousuf, Dilshad Islam, Mohammad Khairul Islam","Indonesian Journal of Electrical Engineering and Computer Science, vol. 4, no. 2, October - 2016"
Review on Telemonitoring of Maternal Health care Targeting Medical Cyber-Physical Systems,"M.A. Kashem, M.H. Seddiqui, N. Moalla, A. Sekhari, Y. Ouzrout."
"ICAICT, International Conference on Advanced Information and Communication Technology (ICAICT), May - 2016",EduBD: A Machine Understandable Approach to Integrate Information of Educational In- stitutions of Bangladesh
"S. Chakraborty, M. H. H. Rahman, M. H. Seddiqui1, S. C. Debnath","AIRCC, International Journal of Web and Semantic Technology (IJWesT), Vol.7, No.1, January - 2016"
Recursive Suffix Stripping to Augment Bangla Stemmer,"M.H. Seddiqui, A.M. Maruf, A.N. Chy."
"ICAICT, International Conference on Advanced Information and Com- munication Technology (ICAICT), 2016",Query Subtopic Mining Exploiting Word Embedding for Search Result Diversification
"MZ Ullah, M Shajalal, AN Chy, M Aono","Springer, Asia Information Retrieval Societies Conference (AIRS), 308 - 314, 2016"
Query subtopic diversification based on cluster ranking and semantic features,"M Shajalal, MZ Ullah, AN Chy, M Aono"
"IEEE, International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA), 2016",Recursive Suffix Stripping to Augment Bangla Stemmer
"MH Seddiqui, AAM Maruf, AN Chy","International Conference on Advanced Information and Communication Technology (ICAICT), 2016"
KDETM at NTCIR-12 Temporalia Task: Combining a Rule-based Classifier with Weakly Supervised Learning for Temporal Intent Disambiguation,"AN Chy, MZ Ullah, M Shajalal, M Aono"
"12th NTCIR Conference on Evaluation of Information Access Technologies, 2016",An expert system to assist the diagnosis of ischemic heart disease
"MS Hossain, MA Haque, R Mustafa, R Karim, HR Dey, M Yousuf","Int J Integr Care, 2016, 2016"
A belief rule-based expert system to assess bronchiolitis suspicion from signs and symptoms under uncertainty,"R Karim, MS Hossain, MS Khalid, R Mustafa, TA Bhuiyan"
"Proceedings of SAI Intelligent Systems Conference, 331-343, 2016, 2016",Accuracy analysis of recommendation system using singular value decomposition
"N Akter, AHMS Hoque, R Mustafa, MS Chowdhury","2016 19th International Conference on Computer and Information Technology …, 2016, 2016"
Japanese Dairy Cattle Productivity Analysis using Bayesian Network Model (BNM),"I Ahmed, K Endo, O Fukuda, K Arai, H Okumura, K Yamashita"
"International Journal of Advanced Computer Science and Applications 7 (11 …, 2016, 2016",Bioelectrical impedance analysis for estimating marbling score of live beef cattle in Japan
"O Fukuda, D Hashimoto, I Ahmed","2016 IEEE International Conference on Industrial Engineering and Engineering …, 2016, 2016"
Identifying green services using gsla model for achieving sustainability in industries,"I Ahmed, H Okumura, K Arai"
"International Journal of Advanced Computer Science and Applications 7 (9 …, 2016, 2016",An Informational Model as a Guideline to Design Sustainable Green SLA (GSLA)
"I Ahmed, H Okumura, K Arai","indicators 7 (4), 2016, 2016"
Belief-rule-based intelligent decision system to select hospital location,"Md. Mahbubul Islam, Tanjim Mahmud, Mohammad Shahadat Hossain"
"Indonesian Journal of Electrical Engineering and Computer Science, 607-618, 2016",Automated Weather Event Analysis with Machine Learning.
"Nasimul, H., Taufeeq, U., Chowdhury, N.K.","International Conference on Innovations in Science, Engineering and Technology (ICISET), 2016"
Phishing websites detection using machine learning based classification techniques.,"Mazharul Islam, Chowdhury, N.K."
"International Conference on Advanced Information and Communication Technology (ICAICT), 2016",Performance Analysis between Probabilistic and Decision Tree based Classification on User Knowledge Model Dataset.
"Md. Faisal Alam, Rashik Hafiz, Mohammad Sanaullah Chowdhury, Chowdhury, N.K.","International Conference on Advanced Information and Communication Technology (ICAICT), 2016"
CRF learning with CNN features for hyperspectral image segmentation,"Fahim Irfan Alam, Jun Zhou, Alan Wee-Chung Liew, Xiuping Jia"
"IEEE, Proceedings of the IEEE International Geoscience and Remote Sensing Symposium (IGARSS), 1-4, November - 2016","This is the first contribution of my PhD thesis. In order to utilize both spectral and spatial information to segment remote sensing hyperspectral images, we proposed to combine the properties of Convolutional Neural Network (CNN) and Conditional Random Field (CRF). A mean-field approximation algorithm for CRF inference is used and formulated with Gaussian pairwise potentials as Recurrent Neural Network. This combined network is then plugged into the CNN which leads to a deep network that has robust characteristics of both CNN and CRF."
Fire Detection in Still Image Using Color Model,"Hira Lal Gope, Machbah Uddin, Shohag Barman, Dilshad Islam, Dr. Mohammad Khairul Islam"
"Indonesian Journal of Electrical Engineering and Computer Science, vol. 3, no. 3, 618-625, October - 2016",Crowd Detection in Still Images Using Combined HOG and SIFT Feature
"Machbah Uddin, Hira Lal Gope, Md. Sayeed Iftekhar Yousuf, Dilshad Islam, Mohammad Khairul Islam","Indonesian Journal of Electrical Engineering and Computer Science, vol. 4, no. 2, October - 2016"
Review on Telemonitoring of Maternal Health care Targeting Medical Cyber-Physical Systems,"M.A. Kashem, M.H. Seddiqui, N. Moalla, A. Sekhari, Y. Ouzrout."
"ICAICT, International Conference on Advanced Information and Communication Technology (ICAICT), May - 2016",EduBD: A Machine Understandable Approach to Integrate Information of Educational In- stitutions of Bangladesh
"S. Chakraborty, M. H. H. Rahman, M. H. Seddiqui1, S. C. Debnath","AIRCC, International Journal of Web and Semantic Technology (IJWesT), Vol.7, No.1, January - 2016"
Recursive Suffix Stripping to Augment Bangla Stemmer,"M.H. Seddiqui, A.M. Maruf, A.N. Chy."
"ICAICT, International Conference on Advanced Information and Com- munication Technology (ICAICT), 2016",Query Subtopic Mining Exploiting Word Embedding for Search Result Diversification
"MZ Ullah, M Shajalal, AN Chy, M Aono","Springer, Asia Information Retrieval Societies Conference (AIRS), 308 - 314, 2016"
Query subtopic diversification based on cluster ranking and semantic features,"M Shajalal, MZ Ullah, AN Chy, M Aono"
"IEEE, International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA), 2016",Recursive Suffix Stripping to Augment Bangla Stemmer
"MH Seddiqui, AAM Maruf, AN Chy","International Conference on Advanced Information and Communication Technology (ICAICT), 2016"
KDETM at NTCIR-12 Temporalia Task: Combining a Rule-based Classifier with Weakly Supervised Learning for Temporal Intent Disambiguation,"AN Chy, MZ Ullah, M Shajalal, M Aono"
"12th NTCIR Conference on Evaluation of Information Access Technologies, 2016",An expert system to assist the diagnosis of ischemic heart disease
"MS Hossain, MA Haque, R Mustafa, R Karim, HR Dey, M Yousuf","Int J Integr Care, 2016, 2016"
A belief rule-based expert system to assess bronchiolitis suspicion from signs and symptoms under uncertainty,"R Karim, MS Hossain, MS Khalid, R Mustafa, TA Bhuiyan"
"Proceedings of SAI Intelligent Systems Conference, 331-343, 2016, 2016",Accuracy analysis of recommendation system using singular value decomposition
"N Akter, AHMS Hoque, R Mustafa, MS Chowdhury","2016 19th International Conference on Computer and Information Technology …, 2016, 2016"
Japanese Dairy Cattle Productivity Analysis using Bayesian Network Model (BNM),"I Ahmed, K Endo, O Fukuda, K Arai, H Okumura, K Yamashita"
"International Journal of Advanced Computer Science and Applications 7 (11 …, 2016, 2016",Bioelectrical impedance analysis for estimating marbling score of live beef cattle in Japan
"O Fukuda, D Hashimoto, I Ahmed","2016 IEEE International Conference on Industrial Engineering and Engineering …, 2016, 2016"
Identifying green services using gsla model for achieving sustainability in industries,"I Ahmed, H Okumura, K Arai"
"International Journal of Advanced Computer Science and Applications 7 (9 …, 2016, 2016",An Informational Model as a Guideline to Design Sustainable Green SLA (GSLA)
"I Ahmed, H Okumura, K Arai","indicators 7 (4), 2016, 2016"
Belief-rule-based intelligent decision system to select hospital location,"Md. Mahbubul Islam, Tanjim Mahmud, Mohammad Shahadat Hossain"
"Indonesian Journal of Electrical Engineering and Computer Science, 607-618, 2016",Automated Weather Event Analysis with Machine Learning.
"Nasimul, H., Taufeeq, U., Chowdhury, N.K.","International Conference on Innovations in Science, Engineering and Technology (ICISET), 2016"
Phishing websites detection using machine learning based classification techniques.,"Mazharul Islam, Chowdhury, N.K."
"International Conference on Advanced Information and Communication Technology (ICAICT), 2016",Performance Analysis between Probabilistic and Decision Tree based Classification on User Knowledge Model Dataset.
"Md. Faisal Alam, Rashik Hafiz, Mohammad Sanaullah Chowdhury, Chowdhury, N.K.","International Conference on Advanced Information and Communication Technology (ICAICT), 2016"
An intelligent framework for text-to-emotion analyzer,"Nadia Afroz, Mahim-Ul Asad, Lily Dey, Rudra Pratap Deb Nath, Muhammad Anwarul Azim"
"IEEE, 18th International Conference on Computer and Information Technology , December - 2015",Object Cataloging Using Heterogeneous Local Features for Image Retrieval
"Mohammad Khairul Islam , Farah Jahan, Joong Hwan Baek","KSII Transactions on Internet and Information Systems, vol. 9, no. 11, 4534-4555, November - 2015"
Semantic Annotation of Bangla News Stream to Record History,"M.H. Seddiqui, M.N. Hoque, M.H.H. Rahman"
"18th International Conference on Computer and Information Technology (ICCIT), October - 2015",[Best Paper Award]
A Fuzzy Frequent Pattern-Growth Algorithm for Association Rule Mining,"A.H.M. Sajedul Hoque, Rashed Mustafa, Sujit Kumar Mondal and Md. Al-Amin Bhuiyan"
"International Journal of Data Mining & Knowledge Management Process (IJDKP), Volume: 5, Issue : 5, 21-33, September - 2015",This article provides an analysis to generate Association Rules using Fuzzy Logic and Frequent Pattern Growth Algorithm.
Estimating a Ranked List of Human Genetic Diseases by Associating Phenotype-Gene with Gene-Disease Bipartite Graphs,"Z. Ullah, M. Aono, M.H. Seddiqui"
"ACM, Transactions on Intelligent Systems and Technology (TIST), Volume 6 Issue 4, August - 2015",An Efficient Metric of Automatic Weight Generation for Properties in Instance Matching Technique
"M.H. Seddiqui, R.P.D. Nath, M. Aono","International Journal of Web & Semantic Technology (IJWesT), Vol.6 No.1, January - 2015"
Combining temporal and content aware features for microblog retrieval,"AN Chy, MZ Ullah, M Aono"
"IEEE, International Conference On Advanced Informatics: Concepts, Theory And Application (ICAICTA), 2015",A time and context aware re-ranker for Microblog retrieval
"AN Chy, MZ Ullah, M Aono","The 29th Annual Conference of the Japanese Society for Artificial Intelligence (JSAI), 2015"
A belief rule based expert system to assess lung cancer under uncertainty,"MS Hossain, MA Hasan, M Uddin, MM Islam, R Mustafa"
"2015 18Th international conference on computer and information technology …, 2015, 2015",An Efficient Lip-reading Method Using K-nearest Neighbor Algorithm
"R Mustafa, D Zhu","TELKOMNIKA Indonesian Journal of Electrical Engineering 13 (2014), 2015, 2015"
A novel method for sensing obscene videos using scene change detection,"R Mustafa, D Zhu"
"International Journal of Advancements in Computing Technology (IJACT) 7 (1), 50, 2015, 2015",A Belief Rule based expert system to control traffic signals under uncertainty
"MS Hossain, H Sinha, R Mustafa","2015 International Conference on Computer and Information Engineering (ICCIE …, 2015, 2015"
Modeling Water Supply in Urban Slum by GIS Mapping,"MS Islam, R Mustafa, MS Mahmud"
"Elixir Social Studies 85, 2015, 2015",DNA Computer Based Algorithm for Recyclable Waste Paper Segregation
"Mohammad Osiur Rahman, Aini Hussain, Edgar Scavino, M A Hannan, Hassan Basri","Applied Soft Computing, 31 (2015) 223–240, 2015"
ISSN 1568-4946 (Index: ISI).,Towards a programmable semantic extract-transform-load framework for semantic data warehouses (Best Paper Award))
"RP Deb Nath, K Hose, TB Pedersen","Proceedings of the ACM Eighteenth International Workshop on Data Warehousing …, 2015, 2015"
AN EFFICIENT METRIC OF AUTOMATIC WEIGHT GENERATION FOR PROPERTIES IN INSTANCE MATCHING TECHNIQUE,"MH Seddiqui, RPD Nath, M Aono"
"International Journal of Web & Semantic Technology (IJWesT) 6 (1), 2015, 2015",An intelligent framework for text-to-emotion analyzer
"N Afroz, MU Asad, L Dey, RPD Nath, MA Azim","2015 18th International Conference on Computer and Information Technology …, 2015, 2015"
Analysis on existing Basic SLAs and green SLAs to define new sustainable Green SLA,"I Ahmed, H Okumura, K Arai"
"International Journal of Advanced Computer Science and Applications 6 (12 …, 2015, 2015",Green Service Level Agreement
"I Ahmed, A Klimova, E Rondeau, A Rybin","International SEEDS Conference 2015, Leeds Beckett University, UK. 1 (1), 30, 2015, 2015"
Introducing active learning on text to emotion analyzer,"Mahim-Ul Asad, Nadia Afroz, Lily Dey, Rudra Pratap Deb Nath, Muhammad Anwarul Azim"
"IEEE, 17th International Conference on Computer and Information Technology, 35-40, December - 2014",An Efficient and Scalable Approach for Ontology Instance Matching
"R.P.D. Nath, M.H. Seddiqui, M. Aono","JCP, Journal of Computers, VOL. 9, NO. 8:1755-1768, August - 2014"
Ontology Instance Matching for Semantic Data Integration,"R.P.D Nath, M.H. Seddiqui"
"LAP LAMBERT Academic Publishing, 150, February - 2014",SHREC’14 Track: Large Scale Comprehensive 3D Shape Retrieval.
"Bo, L., Yijuan, L., Chunyuan, L., Afzal, G., Tobias, S., Masaki, A., Qiang, C., Chowdhury, N.K., Bin, F., Takahiko, F., Henry, J., Ryuichi, K., Hitoshi, K., Ryutarou, O., Atsushi,T.","The Eurographics Association, Eurographics Workshop on 3D Object Retrieval (3DOR), 2014"
Bangla news classification using naive Bayes classifier,"AN Chy, MH Seddiqui, S Das"
"16th Int'l Conf. Computer and Information Technology, 366-371, 2014, 2014",An efficient and scalable approach for ontology instance matching
"RPD Nath, H Seddiqui, M Aono","Journal of Computers 9 (8), 1755-1769, 2014, 2014"
Linked open data representation of historical heritage of Bangladesh,"S Chakraborty, MHH Rahman, MH Seddiqui"
"16th Int'l Conf. Computer and Information Technology, 242-248, 2014, 2014",Bangla news classification using naive Bayes classifier
"AN Chy, MH Seddiqui, S Das","IEEE, 16th International Conference on Computer and Information Technology (ICCIT), 366-371, 2014"
Learning domain-specific sentiment lexicon with supervised sentiment-aware lda,"M Yang, D Zhu, M Rashed, KP Chow"
"Frontiers in Artificial Intelligence and Applications, 2014, 2014",Obscenity Detection Using Haar-Like Features and Gentle Adaboost Classifier
"R Mustafa, M Yang, D Zhu","Scientific World Journal 2014, 6, 2014, 2014"
Emotion extraction from real time chat messenger,"L Dey, MU Asad, N Afroz, RPD Nath"
"2014 International Conference on Informatics, Electronics & Vision (ICIEV), 1-5, 2014, 2014",A Conceptual Model for Effective Email Marketing
"ZL Bawm, RPD Nath","17th International Conference on Computer and Information Technology, 2014, 2014"
An Efficient and Scalable Approach for Ontology Instance Matching.,"RPD Nath, MH Seddiqui, M Aono"
"JCP 9 (8), 1755-1768, 2014, 2014",Introducing Active Learning on Text to Emotion Analyzer
"Mahim ul Asad, Nadia Sabrin, Lily Chowdhury, Rudra Pratap Deb Nath, Anwarul Azim","17th International Conference on Computer and Information Technology, 2014, 2014"
A novel automatic property weight generator for semantic data integration,"RPD Nath, H Seddiqui, M Aono"
"16th Int'l Conf. Computer and Information Technology, 408-413, 2014, 2014",Learning spatial relations for object-specific segmentation using Bayesian network model
"Iker Gondra, Fahim Irfan Alam","Signal, Image and Video Processing, Volume 8, 1441–1450, 2014"
"This paper features the major contributions of my Masters thesis. The main contribution of this paper is the inclusion of spatial relationships among the Object of Interest (OOI) fragments into the model in order to narrow this gap between low-level visual features and high-level semantics. For this purpose, we employ Bayesian networks as a probabilistic approach for learning the spatial relationships which, in turn, becomes evidence that is used for the process of segmenting future instances of the OOI. The algorithm presented in this paper also uses multiple instance learning to obtain prototypical descriptions of each fragment of the OOI based on low-level visual features. The experimental results on both artificial and real image datasets indicate that the addition of spatial relationships improves segmentation performance.",A comparison of 3D shape retrieval methods based on a large-scale benchmark supporting multimodal queries
"Bo, L., Yijuan, L., Chunyuan, L., Afzal, G., Tobias, S., Masaki, A., Martin, B., Qiang, C., Chowdhury, N. K., Bin, F., Hongbo, F., Takahiko, F., Haisheng, L., Jianzhuang, L., Henry, J., Ryuichi, K., Hitoshi, K., Ryutarou, O., Atsushi T., Yajuan, W., Chaoli, Z., Changqing, Z.","Elsevier, Computer Vision and Image Understanding, 2014"
"https://doi.org/10.1016/j.cviu.2014.10.006 Scopus, Q1, H-index: 139, SCIE",Does Operating Efficiency Matter for the Returns of Banking Sector Stocks in Dhaka Stock Exchange?
"Mohammad Akter Hossan, Mohammad Ziaul Hoque, Bishajit Dey","Universal Journal of Accounting and Finance USA, 121- 128, 2014"
An Optimized Image Segmentation Algorithm,"Fahim Irfan Alam, Mumahammad Iqbal Hossain Chowdhury, Mohammad Reza Rabbani, Fateha Khanam Bappee"
"IEEE, Proceedings of the International Conference on Informatics, Electronics and Vision (ICIEV), 1-8, August - 2013","This article was awarded as the best paper in the said conference. The different looking fragments of the same object impose the main challenge of producing a good segmentation. This leads to consider the high-level semantics of an image as well as the low-level visual features which require computationally intensive operations. This demands to optimize the computations as much as possible in order to reduce both computational and communication complexity. This paper proposes a framework which can be used to perform segmentation for a particular object by incorporating optimization in subsequent steps. The algorithm proposes an optimized K-means algorithm for image segmentation followed by balance calculations in multiple instance learning and topological relations with relative positions to identify OOI regions. Finally, a bayesian network is incorporated to contain the learned information about the model of the OOI. The preliminary experimental results suggest a significant drop in the complexity."
A Critical Review on Waste Paper Sorting Techniques,"Mohammad Osiur Rahman, Aini Hussain, and Hassan Basri"
"International Journal of Environmental Science and Technology (IJEST), April - 2013","ISSN 1735-1472, DOI 10.1007/s13762-013-0222-3, (Index: ISI Q1)"
Estimating a ranked list of human hereditary diseases for clinical phenotypes by using weighted bipartite network,"MZ Ullah, M Aono, MH Seddiqui"
"2013 35th Annual International Conference of the IEEE Engineering in …, 2013, 2013",SEM12 at the NTCIR-10 INTENT-2 English Subtopic Mining Subtask.
"MZ Ullah, M Aono, MH Seddiqui","NTCIR, 2013, 2013"
Machine Understandable Information Representation of Geographic Related Data to the Administrative Structure of Bangladesh,"M.H.H. Rahman, S. Chakraborty, M.H. Seddiqui"
"16th International Conference on Computer and Information Technology (ICCIT), 2013",[Best Paper Award]
Electronic health record system for human disease prediction and healthcare improvement in Bangladesh,"MKA Sikder, AN Chy, MH Seddiqui"
"International Conference on Informatics, Electronics and Vision (ICIEV), 2013",Objectionable image detection in cloud computing paradigm-a review
"R Mustafa, D Zhu",2013
“Judgments on Video Applications for Required Contents” - using Evidential Reasoning (ER) Algorithm,"R Mustafa, D Zhu"
"IPCV 2013, 2013, 2013",An Investigation into Content Based Video processing in Cloud Computing Paradigm
"R Mustafa, D Zhu","IPCV 2013, 2013, 2013"
A Prediction Model to Support a Multilayer Network-based Universal Electronic Cash Transaction Framework,"Fahim Irfan Alam, Muhammad Iqbal Hasan Chowdhury"
